Class	Subsystem	Role	Reactions	Genes	AraCyc Cmpts	SUBA Cmpts	PPDB Cmpts	AraGEM Cmpts	Lit. Cmpts	Reference	Consensus location	Notes
Central Carbon	Acetyl-CoA biosynthesis	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	"rxn25978, rxn30418"	AT1G54220		m	m	c			m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: elsewhere and mito WolfPsort: chlo: 6.5, cyto: 5, chlo_mito: 4.5, mito: 1.5 ; No signal peptide."
Central Carbon	Acetyl-CoA biosynthesis	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	"rxn25978, rxn30418"	AT3G13930		m	m	c		PMID:22391856	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: elsewhere and mito WolfPsort: chlo_mito: 7, chlo: 6.5, mito: 6.5; No signal peptide."
Central Carbon	Acetyl-CoA biosynthesis	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	"rxn25978, rxn30418"	AT3G52200		m	m	c			m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito WolfPsort: mito: 9, chlo: 5 ; No signal peptide."
Central Carbon	Acetyl-CoA biosynthesis	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	"rxn00011, rxn22957"	AT1G24180		m	m	c			m	"SUBA: GFP and MS mito; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort:  mito: 7.5, chlo: 6, cyto_mito: 4.5; No signal peptide"
Central Carbon	Acetyl-CoA biosynthesis	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	"rxn00011, rxn22957"	AT1G59900			m	c			m	"SUBA: MS mito; PPDB: curated mito and targetP plastid; Predotar: mito and elsewhere; WolfPsort:   mito: 9, chlo: 5; Has signal peptide"
Central Carbon	Acetyl-CoA biosynthesis	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	"rxn00011, rxn22957"	AT5G50850		m	m	c		PMID:11999848 	m	"SUBA: MS mito; PPDB: curated and target P mito; Predotar: mito and elsewhere; WolfPsort: mito: 10, chlo: 2, cyto: 2;   No signal peptide"
Central Carbon	Acetyl-CoA biosynthesis	Aldehyde dehydrogenase (NAD+) (EC 1.2.1.3)		AT1G23800   			m				m	"PPDB: targetP: mito; Predotar: mito; WolfPsort:  mito: 10.5, chlo_mito: 7.5, chlo: 3.5; No signal peptide"
Central Carbon	TCA cycle	Aconitate hydratase (EC 4.2.1.3)	"rxn00974, rxn15280"	AT2G05710		"d, m"	"c, m"				"c, d, m"	SUBA: GFP and MS mito and plastid; PPDB: curated mito and cytosol; TargetP chloroplast; Predotar and WolfPsort: plastid; No signal peptide
Central Carbon	TCA cycle	Aconitate hydratase (EC 4.2.1.3)	"rxn00974, rxn15280"	AT4G35830		"c, m"	"c, m"			PMID:17437406	"c, m"	"SUBA: GFP cytosol; MS mito 3 results; PPDB: curated: mito and cytosol; targetP: cytosol; Predotar: elsewhere; WolfPsort: cyto: 7, chlo: 2, mito: 2, nucl: 1, pero: 1; No signal peptide"
Central Carbon	TCA cycle	Aconitate hydratase (EC 4.2.1.3)	"rxn00974, rxn15280"	AT4G26970		"d, m"	m			PMID:17013749	"d, m"	"SUBA: GFP and MS mito and plastid; PPDB: curated mito ; TargetP chloroplast; Predotar: mito and elsewhere; WolfPsort: chlo: 10, mito: 4 ; No signal peptide"
Central Carbon	TCA cycle	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	"rxn17745, rxn17746"	AT3G55410		m	m			PMID:20018591	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito WolfPsort: chlo: 8.5, chlo_mito: 6.66667, mito: 3.5, cyto_mito: 3.33333; No signal peptide."
Central Carbon	TCA cycle	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	"rxn17745, rxn17746"	AT5G65750		m	m				m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito, and not plastid in house experiments; Predotar and WolfPsort: mito; No signal peptide."
Central Carbon	TCA cycle	Citrate synthase (si) (EC 2.3.3.1)	rxn19316	AT2G44350	m	m	m	"m, x"			m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito WolfPsort: mito: 9.5, cyto_mito: 5.5, chlo: 3 ; No signal peptide."
Central Carbon	TCA cycle	Citrate synthase (si) (EC 2.3.3.1)	rxn19316	AT3G60100		m	m	"m, x"		PMID:15923350	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito WolfPsort: mito: 9.5, cyto_mito: 5.5, chlo: 3; No signal peptide."
Central Carbon	TCA cycle	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	rxn25978	AT1G54220		m	m	c		PMID:14764908 	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: elsewhere and mito WolfPsort: chlo: 6.5, cyto: 5, chlo_mito: 4.5, mito: 1.5 ; No signal peptide."
Central Carbon	TCA cycle	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	rxn25978	AT3G13930		m	m	c			m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: elsewhere and mito WolfPsort: chlo_mito: 7, chlo: 6.5, mito: 6.5; No signal peptide."
Central Carbon	TCA cycle	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	rxn25978	AT3G52200		m	m	c		PMID:22391856	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito WolfPsort: mito: 9, chlo: 5 ; No signal peptide."
Central Carbon	TCA cycle	Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)	"rxn17745, rxn24411"	AT1G48030		m	m			PMID:11598235	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort: mito: 7.5, chlo_mito: 7, chlo: 5.5 ; No signal peptide."
Central Carbon	TCA cycle	Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)	"rxn17745, rxn24411"	AT3G17240	m	m	m			"PMID:11598235
"	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar:   elsewhere and mito; WolfPsort:  cyto: 5, mito: 5, chlo: 4 ; No signal peptide."
Central Carbon	TCA cycle	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	"rxn17745, rxn25982"	AT4G26910		m	m			PMID:20018591	m	SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito; WolfPsort: plastid ; No signal peptide.
Central Carbon	TCA cycle	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	"rxn17745, rxn25982"	AT5G55070		m	m			PMID:14764908	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito; WolfPsort:  chlo: 9, mito: 5; No signal peptide."
Central Carbon	TCA cycle	Fumarate hydratase class II (EC 4.2.1.2)	rxn00799	AT2G47510	m	m	m			PMID:12492832	m	"SUBA: GFP and MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort:  chlo: 7.5, chlo_mito: 7.5, mito: 6.5; No signal peptide."
Central Carbon	TCA cycle	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	rxn27955	AT3G09810	m	m	m	m			m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort:  chlo: 10, cyto: 1, mito: 1, extr: 1; No signal peptide."
Central Carbon	TCA cycle	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	rxn27955	AT5G03290	m	m	m	m		PMID:17468208	m	"SUBA: GFP and MS mito; PPDB: curated and targetP: mito; Predotar: elsewhere and mito; WolfPsort: chlo: 7.5, chlo_mito: 7.33333, mito: 6, cyto_mito: 3.83333; Has signal peptide"
Central Carbon	TCA cycle	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT1G53240	m	m	m	"d, m, x"		PMID:20876337	m	SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort: mito; Has signal peptide.
Central Carbon	TCA cycle	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT3G15020	m	m	m	"d, m, x"		PMID:20876337	m	SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort: mito; No signal peptide.
Central Carbon	TCA cycle	NAD-dependent malic enzyme (EC 1.1.1.38)	rxn00159	AT2G13560	m	m	m	"c, m"		PMID:20528775 	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort:  mito: 8, chlo: 6; No signal peptide."
Central Carbon	TCA cycle	NAD-dependent malic enzyme (EC 1.1.1.38)	rxn00159	AT4G00570	m	m	m	"c, m"		PMID:20528775 	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort: mito: 7.5, chlo_mito: 7, chlo: 5.5
   No signal peptide."
Central Carbon	TCA cycle	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	"rxn00011, rxn22957"	AT1G24180		m	m	c			m	"SUBA: GFP and MS mito; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort:  mito: 7.5, chlo: 6, cyto_mito: 4.5; No signal peptide"
Central Carbon	TCA cycle	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	"rxn00011, rxn22957"	AT1G59900			m	c			m	"SUBA: MS mito; PPDB: curated mito and targetP plastid; Predotar: mito and elsewhere; WolfPsort:   mito: 9, chlo: 5; Has signal peptide"
Central Carbon	TCA cycle	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	"rxn00011, rxn22957"	AT5G50850		m	m	c			m	"SUBA: MS mito; PPDB: curated and target P mito; Predotar: mito and elsewhere; WolfPsort: mito: 10, chlo: 2, cyto: 2;   No signal peptide"
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) cytochrome b560 subunit SDH3/SDHC	rxn09272	AT4G32210	m		m		m	PMID:15604729	m	"SUBA: targetP mito; Predotar: mito and elsewhere; WolfPsort: mito: 11, chlo: 3; Lit: mito [PMID:15604729]"
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) cytochrome b560 subunit SDH3/SDHC	rxn09272	AT5G09600		m	m		m	PMID:15604729	m	"SUBA: MS mito 2 results; PPDB: curated and targetP: mito; WolfPsort: mito: 11, chlo: 3; Lit: mito [PMID:15604729]"
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) flavoprotein subunit SDH1/SDHA (EC 1.3.5.1)	rxn09272	AT2G18450		m	m			PMID:12374303	m	"SUBA: MS mito multiple results; PPDB: curated and target P mito; Predotar: mito and elsewhere; WolfPsort: mito: 12.5, chlo_mito: 7.5;   No signal peptide"
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) flavoprotein subunit SDH1/SDHA (EC 1.3.5.1)	rxn09272	AT5G66760	m	m	m		m	PMID:12374303	m	"SUBA: MS mito multiple results; PPDB: curated and target P mito; Predotar: mito and elsewhere; WolfPsort: mito: 12.5, chlo_mito: 7.5;   No signal peptide.  Lit: mito [PMID:15604729]"
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) iron-sulfur subunit SDH2/SDHB (EC 1.3.5.1)	rxn27238	AT3G27380		m	m			PMID:16249327	m	"SUBA: MS mito multiple results; PPDB: curated and target P mito; Predotar: mito and elsewhere; WolfPsort: chlo_mito: 7, chlo: 6.5, mito: 6.5 ;   No signal peptide"
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) iron-sulfur subunit SDH2/SDHB (EC 1.3.5.1)	rxn27238	AT5G40650	m	m	m		m	PMID:11442063	m	"SUBA: MS mito multiple results; PPDB: curated and target P mito; Predotar: mito ; WolfPsort: chlo: 8.5, chlo_mito: 7, mito: 4.5 ; No signal peptide.  Lit: mito [PMID:15604729]"
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) iron-sulfur subunit SDH2/SDHB (EC 1.3.5.1)	rxn27238	AT5G65165			m			PMID:16249327	m	"PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort: nucl: 7, mito: 4, chlo: 3; No signal peptide"
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) membrane anchor subunit SDH4/SDHD	rxn27238	AT2G46505	m	m	m		m	PMID:19924544	m	"SUBA: MS mito 2 results; PPDB: curated and target P mito; Predotar: elsewhere and mito ; WolfPsort: chlo: 4, plas: 3, mito: 2, golg: 2, nucl: 1.5, cyto_nucl: 1.5 ; No signal peptide.  Lit: mito [PMID:15604729]; Has intra ection [TMHMM result]."
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH5	rxn27238	AT1G47420	m	m	m		m		m	"SUBA: MS mito multiple results; PPDB: curated and target P mito; Predotar: elsewhere and mito ; WolfPsort: mito: 8, chlo: 6; No signal peptide.  Lit: mito [PMID:15604729]; Has intra ection [TMHMM result]."
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH6	rxn27238	AT1G08480	m	m	m		m	PMID:15604729	m	"SUBA: MS mito multiple results; PPDB: curated mito; not in plastid in house experiments and target P cytosol; Predotar: elsewhere; WolfPsort: mito: 9, nucl: 4; No signal peptide. Lit: mito [PMID:15604729]"
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH7	rxn27238	AT3G47833	m	m	d		m	PMID:15604729	m	"SUBA: MS mito multiple results; PPDB: target P chloroplast; Predotar: plastid ; WolfPsort:  chlo: 7, mito: 4, vacu: 2; No signal peptide.  Lit: mito [PMID:15604729]; Has intra membrane section [TMHMM result]."
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH7	rxn27238	AT5G62575	m	m	d		m	PMID:15604729	m	"SUBA: MS mito multiple results; PPDB: target P plastid; Predotar: plastid; WolfPsort:  mito: 7, extr: 3, vacu: 2, chlo: 1; No signal peptide.  Lit: mito [PMID:15604729]; Has intra membrane section [TMHMM result]."
Central Carbon	TCA cycle	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	rxn00285	AT5G08300		m	m			PMID:12492832	m	"SUBA: MS multiple results mito; PPDB: curated mito and not plastid according to in house experiments; Predotar: mito and elsewhere; WolfPsort: mito: 7.5, chlo_mito: 7.5, chlo: 6.5; No signal peptide.
"
Central Carbon	TCA cycle	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	rxn00285	AT5G23250			m				m	"SUBA: MS multiple results mito; PPDB: curated and targetP mito; Predotar: elsewhere and mito; WolfPsort: chlo: 8.5, chlo_mito: 7.5, mito: 5.5; No signal peptide.
"
Central Carbon	TCA cycle	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)	rxn00285	AT2G20420			m				m	"SUBA: MS multiple results mito; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort :mito: 11, chlo: 3 ; No signal peptide.
"
Central Carbon	TCA cycle	Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH8	rxn27238	AT2G46390		m			m	PMID:15604729	m	SUBA: MS mito one result; sequence too short to use bioinformatics reliable  prediction;   Lit: mito [PMID:15604729]
Central Carbon	Photorespiration (oxidative_C2_cycle)	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT4G37930		"c, m, d"	m	m			"c, m, d"	"SUBA: GFP cytosol and mito; MS data plasma membrane; mito and plastid; PPDB: mito; According to signal 3L peptide does not have signal, so analyzing the other data probably is in several locations"
Central Carbon	Photorespiration (oxidative_C2_cycle)	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	"rxn19763, rxn24149"	AT1G11860		"m, d"	m	m			m	"SUBA: mito and plastid by MS data; PPDB: mito and no plastid by in house data.  By logic (only one T kind protein) and since SUBA are multiple independent data, we will consider it  mito and plastid"
Central Carbon	Photorespiration (oxidative_C2_cycle)	"Dihydrolipoamide dehydrogenase of glycine cleavage system, L protein (EC 1.8.1.4)"	rxn19763	AT1G48030		m	m	m		PMID:11598235	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort: mito: 7.5, chlo_mito: 7, chlo: 5.5 ; No signal peptide."
Central Carbon	Photorespiration (oxidative_C2_cycle)	"Dihydrolipoamide dehydrogenase of glycine cleavage system, L protein (EC 1.8.1.4)"	rxn19763	AT3G17240	m	m	m	m		"PMID:11598235
"	m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar:   elsewhere and mito; WolfPsort:  cyto: 5, mito: 5, chlo: 4 ; No signal peptide."
Central Carbon	Photorespiration (oxidative_C2_cycle)	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	rxn19763	AT2G26080		"m, d"	m	m			m	"SUBA: MS mito, multiple results; Also 3 MS plastid; PPDB: curated and targetP: mito; Predotar: mito; WolfPsort:  mito: 9, chlo: 3, nucl: 1; No signal peptide"
Central Carbon	Photorespiration (oxidative_C2_cycle)	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	rxn19763	AT4G33010		"m, d"	m	m		PMID:17496108	m	"SUBA: MS mito and plastid multiple results; PPDB: curated and targetP: mito; Predotar: mito and elsewhere; WolfPsort:  mito: 11, chlo: 2; No signal peptide"
Central Carbon	Photorespiration (oxidative_C2_cycle)	L-alanine:glyoxylate aminotransferase  (EC 2.6.1.44)	"rxn27695, rxn27909"	AT2G38400		m	m	x			m	SUBA: MS data mitochondrion. PPDB: mitochondria proteome and targetP mito predicited.Predotar: mito; WolfPsort: chloroplast and mito.
Central Carbon	Photorespiration (oxidative_C2_cycle)	L-alanine:glyoxylate aminotransferase  (EC 2.6.1.44)	"rxn27695, rxn27909"	AT3G08860		m	m	x			m	SUBAcon: mito; PPDB: targetP mito; WolfPsort and Predotar: predicted mito
Central Carbon	Photorespiration (oxidative_C2_cycle)	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT5G26780		m	m	m			m	SUBA: mitochondrial MS; PPDB: targetP predicted mitochondrial
Central Carbon	Photorespiration (oxidative_C2_cycle)	Glycine cleavage system H protein 1		AT2G35370		"d, m"	m				m	"SUBA: MS mito multiple results and 3 results plastid; PPDB: curated and targetP mito; Predotar: mainly mito; WolfPsort: mito: 7.5, chlo_mito: 7.5, chlo: 6.5; No signal peptide"
Central Carbon	Photorespiration (oxidative_C2_cycle)	Glycine cleavage system H protein 2		AT2G35120		m	m				m	"SUBA: MS mito multiple results; PPDB: curated and targetP mito; Predotar mito; WolfPsort: mito: 9, chlo: 5; No signal peptide"
Central Carbon	Photorespiration (oxidative_C2_cycle)	Glycine cleavage system H protein 3		AT1G32470		"d, m"	m				m	"SUBA: MS multiple results, 2 results plastid; PPDB: curated mito, targetP plastid; Predotar: mito and plastid; WolfPsort: mito: 8, chlo: 6; Has signal peptide"
Central Carbon	Photorespiration (oxidative_C2_cycle)	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	"rxn27695, rxn27909"	AT4G39660		"m, x"	"m, x"	x			"m, x"	SUBA: GFP mito and peroxisome; MS data mito; PPDB: curated peroxisome and mito
Amino acids	"Alanine, serine, glycine metabolism"	Alanine transaminase (EC 2.6.1.2)	rxn00191	AT1G72330		m	m	"c, x"			m	SUBA: MS data mito; PPDB: predicted curation
Amino acids	"Alanine, serine, glycine metabolism"	L-alanine:glyoxylate aminotransferase  (EC 2.6.1.44)	"rxn27695, rxn27909"	AT2G38400		m	m	x			m	SUBA: MS data mitochondrion.PPDB: mitochondria proteome and targetP mito predicited.Predotar: mito; WolfPsort: chloroplast and mito.
Amino acids	"Alanine, serine, glycine metabolism"	L-alanine:glyoxylate aminotransferase  (EC 2.6.1.44)	"rxn27695, rxn27909"	AT3G08860		m	m	x			m	SUBAcon: mito; PPDB: targetP mito; WolfPsort and Predotar: predicted mito
Amino acids	"Alanine, serine, glycine metabolism"	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT5G26780		m		m	m	PMID:10806255 	m	Photorespiration enzyme; SUBA: MS data mito; PPDB: targetP mito; mitochondrial [PMID:23800877]
Amino acids	"Alanine, serine, glycine metabolism"	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	"rxn27695, rxn27909"	AT4G39660		"m, x"	"m, x"	x			"m, x"	SUBA: GFP mito and peroxisome; MS data mito; PPDB: curated peroxisome and mito
Amino acids	Arginine metabolism and urea cycle	Nitric-oxide synthase (EC 1.14.13.39)		AT3G47450  		"d, m"	"d, m"			PMID:21689173	"d, m"	SUBA: GFP mito; MS 2 data plastid; PPDB: targetP predicts mito; proteomes plastid.
Amino acids	Arginine metabolism and urea cycle	Arginase (EC 3.5.3.1)	rxn00394	AT4G08870		"d, m"	m	c		"PMID:22188168
"	"d, m"	SUBA: MS multiple data mito and plastid; PPDB: proteome and targetP mito
Amino acids	Arginine metabolism and urea cycle	Arginase (EC 3.5.3.1)	rxn00394	AT4G08900		"d, m"	m	c		PMID:23378380	"d, m"	SUBA: MS multiple data mito and plastid; PPDB: proteome and targetP mito
Amino acids	Branched-chain amino acid metabolism	Methionine gamma-lyase (EC 4.4.1.11)		AT1G64660		c	c			PMID:19571310	"c, m"	"SUBAcon: cytosol; PPDB: targetP: cytosol; Predotar: elsewhere; WolfPsort: cyto: 7, mito: 4, pero: 2; Does have signal peptide."
Amino acids	Branched-chain amino acid metabolism	Threonine dehydratase biosynthetic (EC 4.3.1.19)	rxn00737	AT3G10050		d	d	c		PMID:19571310	"c, d, m"	"SUBAcon: plastid; MS data one golgi, one plastid. PPDB: proteome curated and targetP plastid. Predotar: elswhere 60%, plastid 30%. chlo: 11, mito: 3; No signal peptide."
Amino acids	Branched-chain amino acid metabolism	"Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)"	rxn17206	AT1G21400		"d, m"	m			PMID:11418132	"d, m"	"SUBA: GFP mito and plastid;  PPDB: targetP mito; Predotar: mito; WolfPsort: mito: 6, chlo: 5, cyto: 2; No signal peptide"
Amino acids	Branched-chain amino acid metabolism	"Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)"	rxn17206	AT5G09300		m	"d, m"			PMID:22303262; PMID:14764908 	"d, m"	"SUBA: MS 2 results mito; PPDB: tair curation mito; targetP predicted chloroplast; Predotar: mito, plastid and elsewhere equally; Wolfpsort:chlo: 12, mito: 2; No signal peptide"
Amino acids	Branched-chain amino acid metabolism	"Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)"	rxn17206	AT1G55510		m	m			 	"d, m"	"SUBA: one MS data mito; PPDB: targetP mito; Predotar: mito 70%, elsewhere 30 ; WolfPsort: mito: 7.5, chlo_mito: 6.5, chlo: 4.5; No signal peptide."
Amino acids	Branched-chain amino acid metabolism	"Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)"	rxn17206	AT3G13450		m	m			PMID:10681595 	"d, m"	"SUBAcon: mito; PPDB: targetP mito; Predotar: mito and elswhere; WolfPsort:  mito: 7.5, chlo_mito: 7, chlo: 5.5; No signal peptide.If the alpha subunit has been located to both mito and plastid by GFP, it stands to reason that the beta subunit would have the same location."
Amino acids	Branched-chain amino acid metabolism	Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	rxn24412	AT1G48030		"c, d, m"	m		m	PMID:11598235	"d, m"	"SUBA: MS multiple mito, 4 plastid, 2 plasma membrane; PPDB: curated and targetP mito; Predotar: mainly mito; WolfPsort: mito: 7.5, chlo_mito: 7, chlo: 5.5; No signal peptide."
