Class	Subsystem	Role	Reactions	Genes	AraCyc Cmpts	SUBA Cmpts	PPDB Cmpts	AraGEM Cmpts	Lit. Cmpts	Reference	Consensus location	Notes
Central Carbon	Glycolysis and Gluconeogenesis	Glycerol-3-phosphate dehydrogenase [NAD+] (EC 1.1.1.8)	rxn27460, rxn27898	AT2G40690	d	d	d				d	SUBA: GFP and MS plastid; PPDB: curated location plastid; Predotar: elsewhere; Wolfpsort: chlo: 6, cyto: 5, mito: 1, plas: 1; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Glycerol-3-phosphate dehydrogenase [NAD+] (EC 1.1.1.8)	rxn27460, rxn27898	AT5G40610	d	d	d			Yangdou Wei et al (2001)Plant Physiology and Biochemistry 39:841-848	d	SUBA:GFP plastid; PPDB: targetP plastid; Predotar: mito and elsewhere; WolfPsort: plastid; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn19762	AT1G12900	d	d	d	d			d	SUBA: MS multiple results plastid; PPDB: Proteomes and in house experiments plastid, targetP plastid; Predotar: elsewhere; WolfPsort: cyto: 10, chlo: 4; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn19762	AT1G16300	d		d	d	d	PMID:21068209	d	PPDB: targetP predicted and proteomes: plastid; Predotar: plastid and mito: WolfPsort: chlo: 12, mito: 2;  Has signal peptide. Lit: GFP plastid [PMID:19675149]

Central Carbon	Glycolysis and Gluconeogenesis	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn19762	AT1G42970	d	d	d	d			d	SUBA: MS multiple results plastid; PPDB: Proteomes and in house experiments plastid, targetP plastid; Predotar: plastid and mito; WolfPsort: chlo: 9, chlo_mito: 7.5, mito: 4; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn19762	AT1G79530	d		d	d	d	PMID:19675149	d	PPDB: curated and targetP plastid; Predotar: mainly plastid, some mito: WolfPsort: chlo: 11, mito: 3;  No signal peptide. Lit: GFP plastid [PMID:19675149]

Central Carbon	Glycolysis and Gluconeogenesis	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn19762	AT3G26650	d	d	d	d		PMID:17854848	d	SUBA: MS mainly plastid; PPDB: proteomes, in house experiments and targetP plastid; Predotar: plastid and elsewhere; WolfPsort:  cyto: 10, chlo: 4; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	NADP-dependent malic enzyme (EC 1.1.1.40)	rxn00161	AT1G79750	d		d		d	PMID:16113210	d	PPDB: targetP and curated plastid; Predotar: plastid, mito and elsewhere; WolfPsort: chlo: 11, nucl: 1, mito: 1; Has signal peptide. Lit: GFP plastid [PMID:16113210]
Central Carbon	Glycolysis and Gluconeogenesis	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	rxn17199	AT1G12900	d	d	d	d			d	SUBA: MS plastid multiple results; PPDB: proteomes, in house experiments and targetP predicted: plastid; Predotar: plastid; WolfPsort: chlo: 7, cyto: 5, nucl: 1; No signal peptide


Central Carbon	Glycolysis and Gluconeogenesis	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	rxn17199	AT1G42970	d	d	d	d			d	SUBA: MS plastid multiple results; PPDB: proteomes, in house experiments and targetP predicted: plastid; Predotar: plastid and mito; WolfPsort: chlo: 9, chlo_mito: 7.5, mito: 4; No signal peptide


Central Carbon	Glycolysis and Gluconeogenesis	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	rxn17199	AT3G26650	d	d	d	d			d	SUBA: MS plastid multiple results; PPDB: proteomes, in house experiments and targetP predicted: plastid; Predotar: plastid and elsewhere; WolfPsort: cyto: 10, chlo: 4; No signal peptide

Central Carbon	Glycolysis and Gluconeogenesis	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	AT1G56190		d	d	c			d	SUBA: GFP and MS plastid; PPDB: proteomes and in house experiments and targetP predicted: plastid; Predotar and WolfPsort plastid; Has signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111, rxn17199	AT1G76560		d	d	c		PMID:20399532	d	SUBA: MS plastid (one result); PPDB: targetP chloroplast; Predotar: elsewhere and plastid; WolfPsort: plastid; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111, rxn17199	AT2G47400		d	d	c			d	SUBA: MS plastid multiple results; PPDB: proteome, in house experiments and targetP: plastid; Predotar:  plastid and elsewhere; WolfPsort: plastid; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111, rxn17199	AT3G62410		d	d	c			d	SUBA: MS plastid multiple results; PPDB: proteome, in house experiments and targetP: plastid; Predotar: elsewhere and plastid; WolfPsort:chlo: 10, mito: 3; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT1G32440	d	d	d	c, d		PMID:17557808	d	SUBA: MS plastid (3 results); PPDB: curated and targetP plastid; Predotar: plastid and elsewhere; WolfPsort: plastid; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G22960	d	d	d	c, d			d	SUBA: MS multiple plastid; PPDB: curated, in house experiments and targetP plastid; Predotar and WolfPsort plastid; Has signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT5G52920	d	d	d	c, d			d	SUBA: GFP and MS plastid; PPDB: proteomes, in house experiments and targetP plastid; Predotar: plastid and elsewhere; WolfPsort: chlo: 12, mito: 2; No signal peptide. Lit: Enzyme in cytosol but associated with outer mito membrane,[PMID:12953116]

Central Carbon	Glycolysis and Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)		AT1G22170   		d	d				d	SUBA: GFP plastid; PPDB: targetP plastid; Predotar and WolfPsort plastid; Has signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)		AT1G78050 		d	d			PMID:21908688; PMID:15333754	d	SUBA:GFP plastid; PPDB: targetP plastid; Predotar: mito and elsewhere; WolfPsort: mito: 6, cyto: 3, chlo: 2, nucl: 2 ; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Sugar-terminal-phosphatase (EC 3.1.3.9/ EC 3.1.3.58)		AT2G25870		d	d				d	SUBA: GFP and MS plastid; PPDB: curated location plastid; targetP mito; Predotar: mito and elsewhere; WolfPsort: chlo: 12, nucl: 1
Central Carbon	Glycolysis and Gluconeogenesis	Hexokinase (EC 2.7.1.1)	rxn01169, rxn15121, rxn15249, rxn15435, rxn20176	AT4G29130		m	m	c		PMID:17530285	d, m	SUBA: GFP mito; MS: mito and plastid, 2 results plasma membrane and vacuole; PPDB: curated mito [PMID:17530285]; Has three intramembrane sections; Predotar: elsewhere; WolfPsort: chlo: 12, nucl: 1; Has signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT3G47520	d	d, m	d, m	d, m, x		PMID:24453164
	d, m	SUBA: MS plastid majority, 3 results mito; PPDB: targetP chloroplast, curated location mito and plastid [PMID: 14671022; PMID:9774405]; Predotar and wolfPsort: plastid; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT5G09660	x	d, x	x	d, m, x			d, x	SUBA: MS peroxisome and plastid multiple results; PPDB: curated peroxisome; Predotar: elsewhere; WolfPsort: cyto: 7, pero: 6; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT3G15020	m	d, m	m	d, m, x		PMID:20876337	d, m	SUBA: MS mito and plastid; PPDB: curated and targetP mito; Predotar and WolfPsort: mito; No signal peptide
Central Carbon	Pentose phosphate pathway	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	rxn01115, rxn11040	AT1G64190		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated and in house experiments plastid; and targetP secreted. Predotar: elsewhere; WolfPsort: chlo: 9, cyto: 2, mito: 2; No signal peptide
Central Carbon	Pentose phosphate pathway	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	rxn01975	AT1G09420			d	c, d		PMID:21309870	d	PPDB: targetP: plastid; Predotar and WolfPsort: plastid; No signal peptide
Central Carbon	Pentose phosphate pathway	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	rxn01975	AT1G24280	d		d	c, d		PMID:15634201 	d	PPDB: curated and targetP plastid; Predotar: plastid and elsewhere, WolfPsort:  chlo: 11, mito: 3; No signal peptide
Central Carbon	Pentose phosphate pathway	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	rxn01975	AT5G13110	d		d	c, d		PMID:15634201 	d	PPDB: curated and targetP: plastid; Predotar: plastid and mito; WolfpSORT: chlo: 12, vacu: 2; No signal peptide
Central Carbon	Pentose phosphate pathway	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	AT3G04790		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated, in house experiments and targetP plastid (thylakoid membrane). Predotar: Plastid; WolfPsort:  mito: 9, chlo: 5; Has signal peptide
Central Carbon	Pentose phosphate pathway	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	AT5G61410		d	d	c			d	SUBA: MS plastid multiple results; PPDB: Curated, in house experiments and targetP plastid. Predotar: elsewhere; WolfPsort: cyto: 8, extr: 3, nucl: 1.5, cysk_nucl: 1.5. No signalpeptide
Central Carbon	Pentose phosphate pathway	Transaldolase (EC 2.2.1.2)	rxn01333	AT1G12230		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated, in house experiments and targetP plastid. Predotar: plastid; WolfPsort: chlo: 13; No signal peptide
Central Carbon	Pentose phosphate pathway	Transaldolase (EC 2.2.1.2)	rxn01333	AT5G13420		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated,  and targetP plastid. Mito in a proteome; Predotar: plastid and elsewhere; WolfPsort: chlo: 11, mito: 2; Has signal peptide
Central Carbon	Pentose phosphate pathway	Transketolase (EC 2.2.1.1)	rxn01200, rxn15271	AT2G45290		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated and targetP plastid. Predotar: plastid; WolfPsort: chlo: 11, mito: 3; Has signal peptide
Central Carbon	Pentose phosphate pathway	Transketolase (EC 2.2.1.1)	rxn01200, rxn15271	AT3G60750		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated in house experiments and targetP plastid. Predotar: plastid; WolfPsort: chlo: 10.5, chlo_mito: 7.5, mito: 3.5; Has signal peptide
Central Carbon	Pentose phosphate pathway	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)		AT1G32380		d	d				d	SUBA: MS plastid 1 result; PPDB: curated and targetP plastid; Predotar and WolfPsort: plastid; No signal peptide
Central Carbon	Pentose phosphate pathway	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)		AT2G35390 			d				d	PPDB: curated and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Pentose phosphate pathway	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)		AT2G44530  		d, g, n	d				d	SUBA: MS plastid 4 results, nucleous and golgi one reslut; Lit: golgi proteome[PMID:22923678]; PPDB: curated and targetP plastid; Predotar and WolfPsort plastid; No signal peptide
Central Carbon	Pentose phosphate pathway	Ribokinase (EC 2.7.1.15)	rxn37018	AT1G17160  		d	d				d	SUBA: MS plastid, multiple results; PPDB: curated and targetP plastid; Predotar: elsewhere and plastid; WolfPsort: chlo: 13; No signal peptide
Central Carbon	Pentose phosphate pathway	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	rxn01115, rxn11040	AT5G41670		d, m	m	c			d, m	SUBA: MS plastid and mito;  PPDB: Curated mito, not plastid in house experiments; and targetP secreted. Predotar: elsewhere and ER; WolfPsort: chlo: 9, cyto: 3, nucl: 1; No signal peptide
Central Carbon	Pentose phosphate pathway	6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	rxn01476	AT5G24400		d, x	d	c	d, x	PMID:24008768	d, x	SUBA: GFP peroxisome and plastid; MS plastid multiple results; PPDB: curated, in house experiments and targetP plastid; Predotar: plastid, mito and elsewhere; WolfPsort: chlo: 10, mito: 4; Lit: dual to plastid and peroxisomes [PMID:24008768]
Central Carbon	Pentose phosphate pathway	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	rxn01975	AT5G35790	d	d	d	c, d	d, x	PMID:21309870	d, x	SUBA: MS plastid, multiple results; PPDB: curated proteomes, in house experiments and targetP: plastid; Predotar and WolfPsort: plastid; Has signal peptide; Lit: plastid and peroxisome [PMID:21309870]
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT4G26520			c	c		 	c, d	SUBA: No data: PPDB: targetP predicted cytoplasm; Predotar: elsewhere; WolfPsort: chlo: 5, cyto: 5, pero: 3; No signal peptide 
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT4G26530		d	c	c			c, d	SUBA: MS mainly plastid; PPDB: targetP predicted cytosol; Predotar: elsewhere; WolfPsort:  cyto: 8, chlo: 3, pero: 3; No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT5G03690		d	m	c			c, d	SUBA: 2 MS results plastid; PPDB: targetP mito; Predotar: elsewhere; WolfPsort: cyto: 9, chlo: 2, pero: 2; No signal peptide 
Central Carbon	Calvin-Benson-Bassham cycle	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	AT3G12780		c, d	d	c			c, d	SUBA: GFP and MS cytosol and plastid; PPDB: proteomes, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Triosephosphate isomerase (EC 5.3.1.1)	rxn27386	AT2G21170	d	c, d, m	d, m	d		PMID:20097871	c, d	SUBA: GFP plastid and cytosol; MS: plastid, cytosol and mito; PPDB: curated plastid and mito; Predotar: mainly plastid; WolfPsort: chlo: 12.5, chlo_mito: 7.5; No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	rxn15494	AT3G54050		d	d	c			d	SUBA: MS plastid multiple results; PPDB: curated, in house experiments and targetP predicted plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	rxn15494	AT5G64380		d	d	c			d	SUBA: MS plastid (3 results); PPDB: plastid by proteomics and in house experiments, targetP mito ; Predotar: elsewhere, plastid and mito; WolfPsort: chlo: 9.5, chlo_mito: 7, mito: 3.5; No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT2G01140	d, m	d	d	c		PMID:16461379	d	SUBA: MS and GFP: plastid; PPDB: various proteomes, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT2G21330	d	d	d	c		PMID:22323273	d	SUBA: MS and GFP: plastid; PPDB: various proteomes, in house experiments and targetP plastid; Predotar: plastid and elsewhere;  and WolfPsort:  chlo: 10, mito: 4; No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT4G38970	d	d	d	c			d	SUBA: GFP and MS plastid; PPDB: Curated and in house experiments: plastoglobules and plastid; TargetP predicted plastid; Predotar: plastid; WolfPsort: chlo: 7, mito: 3, nucl_plas: 2.5, plas: 2; No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	rxn17199	AT1G12900	d	d	d	d			d	SUBA: MS plastid multiple results; PPDB: proteomes, in house experiments and targetP predicted: plastid; Predotar: plastid; WolfPsort: chlo: 7, cyto: 5, nucl: 1; No signal peptide


Central Carbon	Calvin-Benson-Bassham cycle	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	rxn17199	AT1G42970	d	d	d	d			d	SUBA: MS plastid multiple results; PPDB: proteomes, in house experiments and targetP predicted: plastid; Predotar: plastid and mito; WolfPsort: chlo: 9, chlo_mito: 7.5, mito: 4; No signal peptide


Central Carbon	Calvin-Benson-Bassham cycle	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	rxn17199	AT3G26650	d	d	d	d			d	SUBA: MS plastid multiple results; PPDB: proteomes, in house experiments and targetP predicted: plastid; Predotar: plastid and elsewhere; WolfPsort: cyto: 10, chlo: 4; No signal peptide

Central Carbon	Calvin-Benson-Bassham cycle	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	AT1G56190		d	d	c			d	SUBA: GFP and MS plastid; PPDB: proteomes and in house experiments and targetP predicted: plastid; Predotar and WolfPsort plastid; Has signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Phosphoribulokinase (EC 2.7.1.19)	rxn01111	AT1G32060		d	d	c			d	SUBA: MS plastid multiple results; PPDB: Curated, in house experiments and targetP plastid (thylakoid membrane). Predotar and WolfPsort: plastid; Has  signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111, rxn17199	AT1G76560		d	d	c		PMID:20399532	d	SUBA: MS plastid (one result); PPDB: targetP chloroplast; Predotar: elsewhere and plastid; WolfPsort: plastid; No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111, rxn17199	AT2G47400		d	d	c			d	SUBA: MS plastid multiple results; PPDB: proteome, in house experiments and targetP: plastid; Predotar:  plastid and elsewhere; WolfPsort: plastid; No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111, rxn17199	AT3G62410		d	d	c			d	SUBA: MS plastid multiple results; PPDB: proteome, in house experiments and targetP: plastid; Predotar:   elsewhere and plastid; WolfPsort:chlo: 10, mito: 3; No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	AT3G04790		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated, in house experiments and targetP plastid (thylakoid membrane). Predotar: Plastid; WolfPsort:  mito: 9, chlo: 5; Has signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn20788, rxn25701	ATCG00490	d	d	d	d		PMID:25733857	d	SUBA: MS plastid and plasma membrane, but has no intra embrane structure according toTMHMM result ; PPDB: curated and in house experiments plastid ; TargetP cytosol: Predotar: elsewhere; WolfPsort: cyto: 7, mito: 3, pero: 3; No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT1G67090	d	d, x	d	d		PMID:22223809 	d	SUBA: GFP peroxisome and plastid: MS plastid, multiple data; PPDB: curated, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT5G38410	d	d	d	d		PMID:22223809 	d	SUBA:  MS plastid, multiple data; PPDB: curated, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT5G38420	d	d	d	d		PMID:24682522	d	SUBA:  MS plastid, multiple data; PPDB: curated, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
