Arabidopsis Centroid	Function	Alyrata	Athaliana	Atrichopoda	Bdistachyon	Cclementina	Cgrandiflora	Cpapaya	Creinhardtii	Crubella	Csativus	Csinensis	CsubellipsoideaC169	Egrandis	Esalsugineum	Fvesca	Gmax	Graimondii	Lusitatissimum	Mdomestica	Mesculenta	Mguttatus	MspRCC299	Mtruncatula	Olucimarinus	Osativa	Ppatens	Ptrichocarpa	Pvulgaris	Rcommunis	Sbicolor	Sitalica	Slycopersicum	Smoellendorffii	Spolyrhiza	Stuberosum	Tcacao	Vcarteri	Vvinifera	Zmays
Athaliana|:|AT3G32040.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)																																							
Athaliana|:|AT1G62330.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	475111				Ciclev10014653m	Cagra.0077s0013.1	evm.model.supercontig_152.52		Carubv10019899m	Cucsa.332690.1	orange1.1g007425m		Eucgr.E03991.1, Eucgr.E03988.1	Thhalv10023332m	mrna19502.1-v1.0-hybrid	Glyma.07G263400.1, Glyma.01G101900.1	Gorai.009G181200.1	Lus10015558	MDP0000319815, MDP0000847583	cassava4.1_003535m	Migut.M01373.1		Medtr4g132590.1			Phpat.017G038300.1	Potri.004G005100.1, Potri.011G010600.1	Phvul.003G081600.1		Sobic.010G099800.1	Si006119m	Solyc02g081080.2.1			PGSC0003DMP400029222			GSVIVT01004807001	
Athaliana|:|AT1G11990.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	471348		evm_27.model.AmTr_v1.0_scaffold00123.8	Bradi1g44660.1		Cagra.0568s0108.1			Carubv10011821m					Thhalv10007119m		Glyma.17G010400.1			MDP0000820453						LOC_Os06g13215.1	Phpat.002G047100.1			29842.m003536				85972	Spipo12G0007500		Thecc1EG030298t1		GSVIVT01005599001	GRMZM2G408703_P01, GRMZM2G054070_P02
Athaliana|:|AT2G38700.1	Diphosphomevalonate decarboxylase (EC 4.1.1.33)	482881					Cagra.2692s0029.1			Carubv10023314m					Thhalv10016888m						cassava4.1_028665m					LOC_Os02g01760.1														GRMZM2G091187_P01
Athaliana|:|AT3G54250.1	Diphosphomevalonate decarboxylase (EC 4.1.1.33)	906831		evm_27.model.AmTr_v1.0_scaffold00114.16	Bradi2g61850.1	Ciclev10015368m	Cagra.0562s0016.1	evm.model.supercontig_183.13		Carubv10017330m	Cucsa.309050.1	orange1.1g014714m		Eucgr.J00991.1, Eucgr.G02693.1	Thhalv10010411m, Thhalv10023484m	mrna23657.1-v1.0-hybrid	Glyma.10G279800.1, Glyma.20G109900.1	Gorai.013G012400.1	Lus10008966, Lus10034147, Lus10043438	MDP0000156057, MDP0000135982	cassava4.1_008567m	Migut.F00911.1		Medtr1g112230.1		LOC_Os02g01920.1	Phpat.006G046100.1, Phpat.005G056700.1	Potri.010G237900.1, Potri.008G021100.1	Phvul.007G021200.1	29839.m000431	Sobic.004G330600.1	Si022131m, Si017062m	Solyc04g009650.2.1, Solyc11g007020.1.1	268244	Spipo12G0061900	PGSC0003DMP400028020, PGSC0003DMP400041444	Thecc1EG043879t1		GSVIVT01011287001	GRMZM2G070351_P01
Athaliana|:|AT1G51420.1	Sucrose-phosphate phosphatase (EC 3.1.3.24)	882764					Cagra.2675s0012.1			Carubv10009241m			39769		Thhalv10011514m																									
Athaliana|:|AT2G35840.1	Sucrose-phosphate phosphatase (EC 3.1.3.24)	902697		evm_27.model.AmTr_v1.0_scaffold00004.165	Bradi1g55300.1, Bradi2g36350.3	Ciclev10011822m, Ciclev10015425m	Cagra.0993s0097.1	evm.model.supercontig_36.95, evm.model.supercontig_222.17	Cre07.g348200.t1.1, Cre06.g283400.t1.2, Cre36.g759647.t1.1	Carubv10023659m	Cucsa.282890.1, Cucsa.242180.1	orange1.1g048221m, orange1.1g014638m, orange1.1g040434m	15248	Eucgr.A02547.1, Eucgr.G02659.1	Thhalv10016712m	mrna18142.1-v1.0-hybrid, mrna00357.1-v1.0-hybrid	Glyma.10G086600.1, Glyma.10G120100.1, Glyma.20G070500.1	Gorai.009G395300.1, Gorai.009G301900.1	Lus10012284, Lus10005654, Lus10015995	MDP0000369360, MDP0000198686	cassava4.1_008254m, cassava4.1_008177m, cassava4.1_011609m	Migut.J00731.1		Medtr1g040560.1, Medtr1g054980.1	28910	LOC_Os02g05030.1, LOC_Os05g05270.1, LOC_Os01g27880.1	Phpat.024G003900.1, Phpat.014G019400.1, Phpat.019G021900.1, Phpat.010G036800.1, Phpat.022G006700.1	Potri.016G066100.1, Potri.006G199800.1, Potri.008G013300.1	Phvul.007G265500.1, Phvul.007G233700.1	29333.m001085	Sobic.009G041000.1, Sobic.009G040900.1, Sobic.004G151800.1	Si022142m, Si024709m, Si029938m, Si001574m	Solyc01g006740.2.1, Solyc10g081660.1.1	121516, 402942, 448939, 236983	Spipo0G0172300, Spipo9G0007600	PGSC0003DMP400036986, PGSC0003DMP400048880	Thecc1EG044430t1, Thecc1EG023137t2	Vocar20003060m, Vocar20012795m	GSVIVT01022530001, GSVIVT01029753001	GRMZM2G097641_P02, GRMZM2G055489_P02
Athaliana|:|AT3G54270.1	Sucrose-phosphate phosphatase (EC 3.1.3.24)	906833					Cagra.0562s0018.1			Carubv10019050m		orange1.1g035945m			Thhalv10010402m, Thhalv10023476m															29852.m002019										
Athaliana|:|AT3G52340.1	Sucrose-phosphate phosphatase (EC 3.1.3.24)	485599					Cagra.1889s0022.1			Carubv10017320m					Thhalv10010361m																									
Athaliana|:|AT2G20370.1	Xyloglucan galactosyltransferase (no EC)	480865		evm_27.model.AmTr_v1.0_scaffold00012.202, evm_27.model.AmTr_v1.0_scaffold00039.61	Bradi1g13110.2, Bradi3g28027.1, Bradi3g28012.1, Bradi3g28020.1, Bradi3g28006.1, Bradi1g75450.1, Bradi3g28040.1		Cagra.5341s0005.1	evm.model.supercontig_87.37		Carubv10013229m	Cucsa.140650.1	orange1.1g007197m		Eucgr.A01318.1, Eucgr.B02354.1	Thhalv10001932m	mrna08349.1-v1.0-hybrid	Glyma.19G168800.1, Glyma.10G040700.1, Glyma.13G127300.1	Gorai.012G116500.1, Gorai.007G150100.1	Lus10024961, Lus10001578, Lus10022862, Lus10004967, Lus10016532, Lus10005492	MDP0000322393, MDP0000669665, MDP0000224103, MDP0000290571, MDP0000301243	cassava4.1_004268m, cassava4.1_004031m	Migut.D00481.1		Medtr7g098650.1, Medtr1g069460.1		LOC_Os03g05110.1, LOC_Os03g05060.1, LOC_Os10g32160.1, LOC_Os10g32080.1, LOC_Os10g32110.1, LOC_Os10g32170.1, LOC_Os03g05070.1	Phpat.003G010500.1, Phpat.025G024900.1, Phpat.016G080300.1	Potri.002G256200.1	Phvul.007G153600.1	29637.m000729, 29637.m000730	Sobic.008G138100.1, Sobic.001G506800.1, Sobic.001G506700.1, Sobic.001G506300.1, Sobic.001G506600.1, Sobic.001G228900.1, Sobic.001G506900.1, Sobic.001G229000.1, Sobic.001G229100.1, Sobic.001G506500.1	Si019878m, Si038531m, Si038964m, Si036091m, Si035153m, Si039422m, Si034744m, Si039377m, Si039200m, Si039123m	Solyc09g064470.2.1, Solyc03g115750.1.1, Solyc09g064480.1.1	126799	Spipo1G0014600	PGSC0003DMP400015074, PGSC0003DMP400045647	Thecc1EG003898t1		GSVIVT01028435001	GRMZM2G137779_P01, GRMZM5G865819_P01, GRMZM2G435276_P01, GRMZM2G315692_P01, GRMZM2G075492_P01, GRMZM2G075436_P01, GRMZM2G172602_P01, GRMZM2G332548_P01, GRMZM2G406662_P01, GRMZM2G470309_P01, GRMZM2G142214_P01, GRMZM5G827810_P01, GRMZM2G464680_P01, GRMZM5G816155_P01, GRMZM2G016338_P01, GRMZM2G430995_P01
Athaliana|:|ATMG00580.1	NADH dehydrogenase [ubiquinone] (EC 1.6.5.3) mitochondrial-encoded chain 4, ND4	319376				Ciclev10027632m	Cagra.5120s0013.1				Cucsa.245850.1, Cucsa.245810.1				Thhalv10015949m, Thhalv10015926m		Glyma.U008600.1, Glyma.10G098500.1	Gorai.001G166300.1		MDP0000870264, MDP0000226032, MDP0000353441, MDP0000912491, MDP0000802709		Migut.L00682.1		Medtr0082s0060.1, Medtr0082s0090.1		LOC_Os12g34094.1	Phpat.002G126200.1, Phpat.006G099100.1	Potri.010G080300.1, Potri.005G217200.1		29868.m000337, 42076.m000069	Sobic.003G173200.1	Si020751m, Si020767m	Solyc06g074580.1.1, Solyc10g061990.1.1, Solyc10g045750.1.1, Solyc00g013180.1.1, Solyc10g047420.1.1, Solyc11g030570.1.1	139131					GSVIVT01029664001	GRMZM5G804358_P02
Athaliana|:|AT4G33070.1	Pyruvate decarboxylase (EC 4.1.1.1)	491381		evm_27.model.AmTr_v1.0_scaffold00003.153	Bradi1g16660.1, Bradi1g65440.1	Ciclev10011317m	Cagra.0844s0003.1			Carubv10004406m	Cucsa.176600.1	orange1.1g044559m, orange1.1g038651m		Eucgr.D01319.1			Glyma.07G153100.1, Glyma.03G055100.1	Gorai.006G183900.1, Gorai.006G184000.1		MDP0000923210, MDP0000800945, MDP0000217005, MDP0000571255, MDP0000181169, MDP0000750040, MDP0000840772, MDP0000287416, MDP0000163490, MDP0000223243, MDP0000762567	cassava4.1_003946m, cassava4.1_003934m	Migut.J00132.1		Medtr5g046620.1, Medtr7g069540.1		LOC_Os07g49250.1	Phpat.003G046200.1	Potri.016G120100.1	Phvul.008G095400.1, Phvul.010G078000.1	29601.m000442		Si034754m, Si032793m	Solyc10g076510.1.1			PGSC0003DMP400052856	Thecc1EG021652t1, Thecc1EG021649t1	Vocar20011609m	GSVIVT01024702001	AC197705.4_FGP001, GRMZM2G434792_P01
Athaliana|:|AT5G54960.1	Pyruvate decarboxylase (EC 4.1.1.1)	495579		evm_27.model.AmTr_v1.0_scaffold00016.82, evm_27.model.AmTr_v1.0_scaffold00062.143, evm_27.model.AmTr_v1.0_scaffold00065.165	Bradi2g03840.1	Ciclev10014703m	Cagra.1629s0068.1	evm.model.supercontig_7.43	Cre03.g165700.t1.1	Carubv10027657m	Cucsa.046790.1, Cucsa.130020.1	orange1.1g007800m	38356	Eucgr.L01137.1, Eucgr.A00548.1, Eucgr.L02272.1, Eucgr.K02969.1, Eucgr.L01136.1, Eucgr.K02968.1	Thhalv10013010m	mrna13476.1-v1.0-hybrid	Glyma.08G176600.1, Glyma.18G204200.1, Glyma.13G231700.1, Glyma.15G080800.1, Glyma.15G056400.1	Gorai.009G164100.1, Gorai.011G033400.1	Lus10018181, Lus10003384, Lus10027820, Lus10025654, Lus10005048	MDP0000750456	cassava4.1_033824m, cassava4.1_004208m	Migut.M01062.1				LOC_Os01g06660.1	Phpat.003G058200.1, Phpat.001G086900.1	Potri.T143400.1, Potri.004G054100.1, Potri.017G151900.1		30138.m003964, 30138.m003963	Sobic.003G061300.1, Sobic.001G405500.1	Si000757m	Solyc02g077240.2.1, Solyc09g005110.2.1	157772, 417069	Spipo6G0064600	PGSC0003DMP400060555, PGSC0003DMP400011112, PGSC0003DMP400039802	Thecc1EG029740t2		GSVIVT01004503001, GSVIVT01021184001, GSVIVT01005052001	GRMZM2G111250_P01, GRMZM2G038821_P01
Athaliana|:|AT5G01320.1	Pyruvate decarboxylase (EC 4.1.1.1)	486945		evm_27.model.AmTr_v1.0_scaffold00007.142			Cagra.4082s0013.1	evm.model.supercontig_120.23, evm.model.supercontig_120.49		Carubv10003893m	Cucsa.151690.1, Cucsa.130000.1, Cucsa.130010.1			Eucgr.D00535.1, Eucgr.J01896.1, Eucgr.A00547.1, Eucgr.L02239.1, Eucgr.A00546.1, Eucgr.L01139.1, Eucgr.A00549.1	Thhalv10013008m	mrna29815.1-v1.0-hybrid, mrna07945.1-v1.0-hybrid	Glyma.01G118000.1	Gorai.004G001200.1	Lus10015291, Lus10002217	MDP0000138249, MDP0000164023, MDP0000492845, MDP0000132794	cassava4.1_004214m	Migut.I00033.1		Medtr5g046610.1, Medtr2g009330.1, Medtr7g069500.1, Medtr2g015560.1, Medtr1g011530.1, Medtr4g017200.1		LOC_Os11g38910.1, LOC_Os05g39320.1, LOC_Os03g18220.1, LOC_Os05g39310.1	Phpat.017G007000.1, Phpat.019G065700.1	Potri.006G102500.1, Potri.T102400.1, Potri.011G064000.1	Phvul.006G177600.1	29900.m001589	Sobic.002G429000.1, Sobic.009G169000.1	Si021510m	Solyc06g082130.2.1	80644, 406669	Spipo6G0064400, Spipo22G0031300, Spipo23G0037900		Thecc1EG042172t1, Thecc1EG021650t1		GSVIVT01003940001	GRMZM2G024374_P01, GRMZM2G087186_P01
Athaliana|:|AT5G01330.1	Pyruvate decarboxylase (EC 4.1.1.1)	349471		evm_27.model.AmTr_v1.0_scaffold00065.166																MDP0000115697				Medtr4g017210.1			Phpat.1Z025400.1	Potri.009G073700.1							Spipo6G0064800					
Athaliana|:|AT4G24160.1	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	914176		evm_27.model.AmTr_v1.0_scaffold00182.10	Bradi4g35382.1	Ciclev10001334m	Cagra.1226s0081.1	evm.model.supercontig_140.24	Cre01.g000300.t1.1	Carubv10004917m	Cucsa.159690.1	orange1.1g015328m	54313	Eucgr.F01623.1	Thhalv10025308m	mrna15225.1-v1.0-hybrid, mrna15223.1-v1.0-hybrid	Glyma.06G026500.1, Glyma.04G026500.1, Glyma.14G216800.1, Glyma.17G255400.1	Gorai.009G270900.1, Gorai.009G196500.1	Lus10033927, Lus10024310	MDP0000839209, MDP0000267916, MDP0000324434	cassava4.1_008688m	Migut.N03135.1, Migut.C00795.1		Medtr3g113160.1, Medtr1g023340.1		LOC_Os09g34860.1	Phpat.009G002100.1, Phpat.1Z004200.1	Potri.002G027300.1, Potri.005G235200.1	Phvul.009G014600.1, Phvul.001G009400.1	30170.m014138, 50119.m000014	Sobic.002G267500.1	Si028837m	Solyc07g032180.2.1, Solyc07g032170.2.1	44654	Spipo16G0022500		Thecc1EG034161t1	Vocar20001283m	GSVIVT01009830001	GRMZM2G079109_P01
Athaliana|:|AT2G18450.1	Succinate dehydrogenase (ubiquinone) flavoprotein subunit SDH1/SDHA (EC 1.3.5.1)	480752					Cagra.6034s0001.1		Cre14.g619133.t1.1	Carubv10016059m					Thhalv10022591m																							Vocar20010652m		
Athaliana|:|AT5G66760.1	Succinate dehydrogenase (ubiquinone) flavoprotein subunit SDH1/SDHA (EC 1.3.5.1)	496924		evm_27.model.AmTr_v1.0_scaffold00059.34	Bradi1g07020.1, Bradi1g57930.1	Ciclev10025149m	Cagra.2007s0024.1	evm.model.supercontig_6.105		Carubv10026004m	Cucsa.201390.1	orange1.1g046556m	54390	Eucgr.I02452.1	Thhalv10003821m	mrna14782.1-v1.0-hybrid	Glyma.02G057400.1, Glyma.01G175600.1, Glyma.11G067800.1	Gorai.003G015500.1, Gorai.008G068200.1	Lus10024015, Lus10041739	MDP0000813172, MDP0000188391, MDP0000251581	cassava4.1_003519m, cassava4.1_003478m	Migut.L00517.1		Medtr5g020050.1	29304	LOC_Os07g04240.1	Phpat.027G021700.1, Phpat.006G089600.1	Potri.005G123900.1, Potri.007G026400.1	Phvul.002G029800.1, Phvul.003G253200.1	29651.m000291	Sobic.001G072000.1, Sobic.002G028700.1	Si015821m, Si034721m	Solyc02g085350.2.1	440964	Spipo2G0104200, Spipo3G0102100	PGSC0003DMP400026219	Thecc1EG000401t1		GSVIVT01018976001	GRMZM2G079888_P01, GRMZM2G064799_P01
Athaliana|:|AT3G55800.1	Sedoheptulose-1,7-bisphosphatase (EC 3.1.3.37)	907013		evm_27.model.AmTr_v1.0_scaffold00010.221	Bradi2g55150.1	Ciclev10031765m	Cagra.0003s0005.1	evm.model.supercontig_19.221	Cre03.g185550.t1.2	Carubv10017407m	Cucsa.164600.1	orange1.1g022390m	38677	Eucgr.J00242.1	Thhalv10010434m	mrna29967.1-v1.0-hybrid, mrna20910.1-v1.0-hybrid	Glyma.18G030400.1, Glyma.11G226900.1	Gorai.011G279400.1	Lus10040228, Lus10028261	MDP0000138073, MDP0000267169, MDP0000244771, MDP0000277811	cassava4.1_009376m, cassava4.1_009395m	Migut.F01436.1		Medtr3g070100.1	4189	LOC_Os04g16680.1	Phpat.005G020100.1, Phpat.006G081900.1	Potri.010G193300.1, Potri.008G063800.1	Phvul.001G240200.1	29610.m000407	Sobic.003G359100.1	Si001775m	Solyc05g052600.2.1	99338	Spipo23G0006200	PGSC0003DMP400047117	Thecc1EG042607t1	Vocar20008027m	GSVIVT01016373001	GRMZM6G741210_P01
Athaliana|:|AT4G21090.2	Adrenodoxin, mitochondrial ferredoxin	492779		evm_27.model.AmTr_v1.0_scaffold00021.155, evm_27.model.AmTr_v1.0_scaffold00021.157	Bradi1g46640.2	Ciclev10003949m, Ciclev10010355m	Cagra.1062s0029.1	evm.model.supercontig_19.250		Carubv10005773m	Cucsa.281430.1	orange1.1g041173m, orange1.1g029354m		Eucgr.C00772.1	Thhalv10026290m		Glyma.17G046300.1, Glyma.08G073200.1, Glyma.17G142200.1, Glyma.13G113400.1	Gorai.001G276500.1, Gorai.009G037600.1, Gorai.010G091600.1	Lus10014947, Lus10038832	MDP0000318965, MDP0000180803, MDP0000281146	cassava4.1_022647m, cassava4.1_028118m			Medtr4g131820.1	40562, 8463	LOC_Os07g01930.1	Phpat.009G002700.1	Potri.003G182100.1, Potri.001G044700.1	Phvul.003G127900.1	29739.m003704	Sobic.002G213900.1, Sobic.010G073100.1	Si006927m	Solyc11g065640.1.1, Solyc01g008460.2.1	230127, 140989	Spipo0G0033600	PGSC0003DMP400018924	Thecc1EG037472t1	Vocar20008665m	GSVIVT01015024001	GRMZM2G013607_P01, GRMZM5G856338_P03
Athaliana|:|AT4G05450.1	Adrenodoxin, mitochondrial ferredoxin	490193		evm_27.model.AmTr_v1.0_scaffold00058.14	Bradi4g31120.2	Ciclev10023035m	Cagra.1981s0035.1		Cre12.g559950.t1.2	Carubv10002021m		orange1.1g043887m	36000		Thhalv10029400m, Thhalv10029287m	mrna05402.1-v1.0-hybrid				MDP0000768289		Migut.B01759.1		Medtr1g112970.1		LOC_Os09g26650.1						Si031622m		229827						
Athaliana|:|AT3G60880.2	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	486562					Cagra.3373s0053.1			Carubv10017487m					Thhalv10006047m		Glyma.03G022300.1										Phpat.1Z034600.1		Phvul.010G085500.1		Sobic.010G216300.1	Si006934m								GRMZM2G027835_P01
Athaliana|:|AT2G45440.1	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	483681		evm_27.model.AmTr_v1.0_scaffold00029.446	Bradi5g18987.1, Bradi2g15480.1	Ciclev10001621m	Cagra.0698s0019.1	evm.model.supercontig_18.130	Cre02.g107300.t1.2	Carubv10023487m	Cucsa.257740.1	orange1.1g018253m	27640, 53072	Eucgr.E01411.1, Eucgr.D02445.1, Eucgr.E01410.1, Eucgr.E01412.1	Thhalv10001510m	mrna19393.1-v1.0-hybrid	Glyma.18G221700.1, Glyma.09G268200.1	Gorai.008G114500.1, Gorai.004G160600.1	Lus10015861, Lus10009302	MDP0000169985	cassava4.1_010211m, cassava4.1_010182m	Migut.N00657.1, Migut.D02471.1		Medtr7g075090.1, Medtr1g088775.1, Medtr8g036035.1, Medtr8g036020.1, Medtr8g036050.1, Medtr8g036040.1	31602	LOC_Os04g48540.1, LOC_Os04g18200.1	Phpat.006G013700.1, Phpat.005G090900.1	Potri.014G071100.1, Potri.002G149500.1	Phvul.008G075400.1	29830.m001442, 33535.m000028	Sobic.006G186600.1	Si010357m, Si006647m	Solyc10g083110.1.1, Solyc03g044660.2.1	179125	Spipo14G0040500	PGSC0003DMP400049089	Thecc1EG005490t2	Vocar20013908m	GSVIVT01027627001	GRMZM2G556131_P02
Athaliana|:|AT5G47030.1	ATP synthase delta' chain (EC 3.6.3.14)	494277		evm_27.model.AmTr_v1.0_scaffold00099.24	Bradi1g27040.1	Ciclev10022328m	Cagra.3060s0002.1	evm.model.supercontig_106.98	Cre11.g467707.t1.1	Carubv10027152m	Cucsa.256900.1	orange1.1g041201m, orange1.1g029006m	48924	Eucgr.E01680.1, Eucgr.E01702.1, Eucgr.E01700.1, Eucgr.E01679.1, Eucgr.E01697.1	Thhalv10001028m	mrna10635.1-v1.0-hybrid	Glyma.03G105300.1, Glyma.07G117000.1	Gorai.002G150400.1, Gorai.008G229700.1, Gorai.004G068100.1, Gorai.002G190900.1, Gorai.004G167800.1	Lus10040130, Lus10001082	MDP0000169508, MDP0000799347, MDP0000590045, MDP0000785964, MDP0000624197, MDP0000203888, MDP0000731738	cassava4.1_016521m, cassava4.1_014239m, cassava4.1_016488m	Migut.F00553.1, Migut.B01492.1		Medtr8g008870.1	35127	LOC_Os07g31300.1	Phpat.013G038200.1, Phpat.026G047600.1, Phpat.004G118300.1	Potri.014G053000.1, Potri.003G086100.1	Phvul.010G042900.1	29628.m000785	Sobic.002G309700.1	Si031139m	Solyc05g052140.2.1, Solyc05g052150.2.1, Solyc06g048430.2.1, Solyc03g095190.2.1	184168	Spipo30G0002500	PGSC0003DMP400047981, PGSC0003DMP400009337, PGSC0003DMP400020653, PGSC0003DMP400020652	Thecc1EG005791t1, Thecc1EG015804t1	Vocar20004902m	GSVIVT01018340001	GRMZM2G171628_P01, GRMZM2G138220_P01
Athaliana|:|AT5G09640.1	Sinapoylglucose--choline O-sinapoyltransferase (EC 2.3.1.91)	487780			Bradi2g41117.1, Bradi4g21591.1					Carubv10003665m, Carubv10016437m					Thhalv10002783m, Thhalv10015958m, Thhalv10015495m, Thhalv10016050m	mrna02600.1-v1.0-hybrid	Glyma.03G070300.1							Medtr4g021520.1, Medtr4g021500.1		LOC_Os11g27264.2						Si035415m								
Athaliana|:|AT2G23010.2	Sinapoylglucose--sinapoylglucose O-sinapoyltransferase (EC 2.3.1.103)	481172					Cagra.3544s0003.1, Cagra.1848s0001.1, Cagra.3544s0001.1			Carubv10023237m, Carubv10023233m, Carubv10023234m, Carubv10025556m, Carubv10023242m, Carubv10025545m																							Solyc12g088280.1.1						GSVIVT01037078001	
Athaliana|:|AT2G22980.4	Sinapoylglucose--sinapoylglucose O-sinapoyltransferase (EC 2.3.1.103)	481165																																						
Athaliana|:|AT2G22990.3	Sinapoylglucose--malate O-sinapoyltransferase (EC 2.3.1.92) / Sinapoylglucose--sinapoylglucose O-sinapoyltransferase (EC 2.3.1.103)	481168																																						
