Class	Subsystem	Role	Reactions	Genes	AraCyc Cmpts	SUBA Cmpts	PPDB Cmpts	AraGEM Cmpts	Lit. Cmpts	Reference	Consensus location	Notes	
Central Carbon	Glycolysis and Gluconeogenesis	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	rxn15298	AT1G20950			c				"c, n"	"SUBA: uncertain; PPDB: not plastid in house experiments; targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 8, nucl: 5; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	rxn15298	AT4G04040			c			PMID:19533038	"c, n"	"SUBA: uncertain; PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: nucl: 8, cyto: 2, cysk: 2, chlo: 1; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn19762	AT1G13440		"c, m, n,x"	n	d			"c, n, x"	"SUBA: GFP: cytosol, mitochondria, nucleous, peroxisome; MS cytosol, mitochondria, nucleous, peroxisome (1), plastid, plasma membrane; PPDB: nucleous proteome [PMID:1549645]; Predotar: elsewhere and mito; WolfPsort: cytosol; No signal peptide. Activity by isolated mitochondria removed by protease"	
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT1G53240	m	"c, d, m"	m	"d, m, x"		PMID:20876337	"c, d, m"	"SUBA: MS mito, plasma membrane and plastid; PPDB: curated and targetP: mito; Predotar and WolfPsort: mito: has target peptide"	
Central Carbon	Pentose phosphate pathway	"6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type"	rxn01476	AT1G13700			c	c		PMID:24008768; PMID:19457984	c	"PPDB: targetP cytosol. Predotar: elsewhere; WolfPsort: cyto: 5, chlo: 3, nucl: 2, cysk: 2, mito: 1; No signal peptide"	
Central Carbon	Pentose phosphate pathway	"6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type"	rxn01476	AT5G24410			c	c			c	"PPDB: targetP cytosol. Predotar: elsewhere and mito; WolfPsort: cyto: 6, chlo: 2, mito: 2, nucl: 1.5, cysk_nucl: 1.5, plas: 1; No signal peptide"	
Central Carbon	Pentose phosphate pathway	"6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type"	rxn01476	AT5G24420			c	c			c	"PPDB: targetP cytosol. Predotar: elsewhere; WolfPsort: mito: 5, cyto: 4, nucl: 2, chlo: 1, plas: 1; No signal peptide"	
Central Carbon	Pentose phosphate pathway	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	rxn01975	AT3G27300	c		c	"c, d"		PMID:15634201 	c	"PPDB: curated and targetP: cytosol; Predotar: elsewhere; WolfPsort:  cyto: 12, E.R.: 1; No signal peptide
"	
Central Carbon	Pentose phosphate pathway	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	rxn01975	AT5G40760	c		c	"c, d"			c	"PPDB: curated and targetP: cytosol; Predotar and WolfPsort:  cyto; No signal peptide
"	
Central Carbon	Pentose phosphate pathway	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	AT1G63290				c			c	"SUBA: MS one result each cytosol and plasma membrane; PPDB: targetP secreted; Predotar: elsewhere; WolfPsort: cyto: 8, chlo: 4, nucl: 1.5, cysk_nucl: 1.5; No signal peptide"	
Central Carbon	Pentose phosphate pathway	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	AT3G01850				c			c	"PPDB: targetP secreted; Predotar: elsewhere; WolfPsort: cyto: 9, chlo: 2, nucl: 1.5, cysk_nucl: 1.5; No signal peptide"	
Central Carbon	Pentose phosphate pathway	Gluconokinase (EC 2.7.1.12)	rxn01275	AT2G16790   			c				c	"PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: chlo: 5, nucl: 4, cyto: 2.5, cyto_E.R.: 2, extr: 1; No signal peptide"	
Central Carbon	Pentose phosphate pathway	Ribokinase (EC 2.7.1.15)	rxn37018	AT5G43910			c				c	"PPDB: targetP: cytosol; Predotar: elsewhere; WolfPsort: chlo: 4, nucl: 4, cyto: 4, extr: 1; No signal peptide"	
Central Carbon	Pentose phosphate pathway	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	AT1G71100		"c, n"	c	c		PMID:17059404	"c, n"	"SUBA: GFP cytosol and nucleous; PPDB: curated and targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 10, chlo: 2, plas: 2; No signal peptide
"	
Central Carbon	Pentose phosphate pathway	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	AT2G01290		"c, n"	c	c		PMID:19744161	"c, n"	"SUBA: GFP cytosol and nucleous; PPDB: curated and targetP cytosol; Predotar: elsewhere; WolfPsort:  cyto: 10, chlo: 2, cysk: 2; No signal peptide
"	
Central Carbon	Pentose phosphate pathway	"6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type"	rxn01476	AT3G49360		v	c	c			"c, v"	"SUBA: MS vacuole 2 results; PPDB:  targetP cytosol. Predotar: elsewhere ; WolfPsort: chlo: 7, cyto: 3, nucl: 1, mito: 1, plas: 1; No signal peptide"	
Central Carbon	Pentose phosphate pathway	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	"rxn01115, rxn11040"	AT3G02360		"c, x"	c	c			"c, x"	"SUBA: GFP: cytosol; MS peroxisome, multiple data; PPDB: Curated cytosol; and targetP secreted. Predotar: elsewhere; WolfPsort: chlo: 11, cyto: 3; No signal peptide"	
Central Carbon	Calvin-Benson-Bassham cycle	"Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)"	rxn15494	AT1G43670			c	c			c	"PPDB: not plastid supported by in house experiments, targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 5, chlo: 4, nucl: 2, plas: 2. No signal peptide"	
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	"rxn01334, rxn19683"	AT2G36460			c	c			c	"SUBA: MS plasma membrane, plastid and cytosol; PPDB: targetP cytosol; curated cytosol [PMID:12953116]; Predotar: elsewhere; WolfPsort: cyto: 7, chlo: 2, pero: 2, vacu: 1.5, E.R._vacu: 1.5; No signal peptide. Lit: Enzyme in cytosol but associated with outer mito membrane, determined by GFP [PMID:12953116]"	
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	"rxn01334, rxn19683"	AT3G52930			c	c			c	"SUBA: MS plastid, vacuole and plasma membrane; PPDB: targetP predicted and curated: cytosol [PMID:12953116] ; Predotar: elsewhere; WoflPsort: cyto: 5, chlo: 3, E.R.: 3, mito: 2; No signal peptide;  Enzyme in cytosol but associated with outer mito membrane [PMID:12953116]"	
Central Carbon	Calvin-Benson-Bassham cycle	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	AT1G79550			c	c			c	"SUBA: MS nucleous, plastid, vacuole, 2 results each; PPDB: not plastid according to in house experiments; TargetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 8, chlo: 4, pero: 2; No signal peptide"	
Central Carbon	Calvin-Benson-Bassham cycle	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	AT1G63290				c			c	"SUBA: MS one result each cytosol and plasma membrane; PPDB: targetP secreted; Predotar: elsewhere; WolfPsort: cyto: 8, chlo: 4, nucl: 1.5, cysk_nucl: 1.5; No signal peptide"	
Central Carbon	Calvin-Benson-Bassham cycle	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	AT3G01850				c			c	"PPDB: targetP secreted; Predotar: elsewhere; WolfPsort: cyto: 9, chlo: 2, nucl: 1.5, cysk_nucl: 1.5; No signal peptide"	
Central Carbon	Calvin-Benson-Bassham cycle	Triosephosphate isomerase (EC 5.3.1.1)	rxn27386	AT3G55440			m	d			c	"SUBA: MS plasma membrane, plastid and vacuole; but it has no intra membrane section; PPDB: not in plastid in house experiments; curated mito [PMID:14671022]; predotar: elsewhere; WolfPsort:  cyto: 5, chlo: 4, pero: 3, mito: 1; No signal peptide. Activity in mitochondria removed by protease"	
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	"rxn01334, rxn19683"	AT4G26520			c	c		 	"c, d"	"SUBA: No data: PPDB: targetP predicted cytoplasm; Predotar: elsewhere; WolfPsort: chlo: 5, cyto: 5, pero: 3; No signal peptide "	
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	"rxn01334, rxn19683"	AT4G26530		d	c	c			"c, d"	"SUBA: MS mainly plastid; PPDB: targetP predicted cytosol; Predotar: elsewhere; WolfPsort:  cyto: 8, chlo: 3, pero: 3; No signal peptide"	
Central Carbon	Calvin-Benson-Bassham cycle	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	"rxn01334, rxn19683"	AT5G03690		d	m	c			"c, d"	"SUBA: 2 MS results plastid; PPDB: targetP mito; Predotar: elsewhere; WolfPsort: cyto: 9, chlo: 2, pero: 2; No signal peptide "	
