Reaction	Equation	Proteins
rxn15116	(1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) Glyceraldehyde3-phosphate[0]	AT2G01140.1, AT2G21330.1, AT2G36460.1, AT3G52930.1, AT4G26520.1, AT4G26530.1, AT4G38970.1, AT5G03690.1
rxn15271	(1) Glyceraldehyde3-phosphate[0] + (1) beta-D-Fructose 6-phosphate[0] <=> (1) D-Xylulose5-phosphate[0] + (1) D-Erythrose4-phosphate[0]	AT2G45290.1, AT3G60750.1
rxn15494	(1) H2O[0] + (1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Phosphate[0] + (1) beta-D-Fructose 6-phosphate[0]	AT1G43670.1, AT3G54050.1, AT5G64380.1
rxn17196	(1) NADP[0] + (1) H+[0] + (2) Reduced-ferredoxins[0] <= (1) NADPH[0] + (2) Oxidized-ferredoxins[0]	AT1G20020.1, AT1G30510.2, AT4G05390.1, AT5G66190.1
rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	AT1G20020.1, AT1G30510.2, AT4G03280.1, AT4G05390.1, AT5G66190.1, ATCG00540.1, ATCG00600.1, ATCG00720.1, ATCG00730.1
rxn20632	(2) H2O[0] + (4) hn[0] + (2) PLASTOQUINONE[0] <= (1) O2[0] + (2) PLASTOQUINOL-1[0]	AT1G03600.1, AT1G06680.1, AT1G44575.1, AT1G51400.1, AT1G67740.1, AT1G79040.1, AT2G06520.1, AT2G30570.1, AT2G30790.1, AT3G21055.1, AT3G50820.1, AT4G05180.1, AT4G21280.2, AT4G28660.2, AT4G35250.1, AT5G23120.1, AT5G66570.1, ATCG00020.1, ATCG00070.1, ATCG00080.1, ATCG00220.1, ATCG00270.1, ATCG00280.1, ATCG00300.1, ATCG00550.1, ATCG00560.1, ATCG00570.1, ATCG00580.1, ATCG00680.1, ATCG00700.1, ATCG00710.1
rxn26037	(1) L-Cysteine[0] + (1) L-Cysteine-Desulfurases[0] <=> (1) L-Alanine[0] + (1) Persulfurated-L-cysteine-desulfurases[0]	AT1G08490.1, AT5G65720.1
rxn26754	(1) hn[0] + (1) Oxidized-ferredoxins[0] + (1) Plastocyanin-Reduced[0] <=> (1) Oxidized-Plastocyanins[0] + (1) Reduced-ferredoxins[0]	AT1G03130.1, AT1G08380.1, AT1G20020.1, AT1G30380.1, AT1G30510.2, AT1G31330.1, AT1G52230.1, AT1G55670.1, AT2G20260.1, AT2G46820.1, AT3G16140.1, AT4G02770.1, AT4G05390.1, AT4G12800.1, AT4G28750.1, AT5G64040.2, AT5G66190.1, ATCG00340.1, ATCG00350.1, ATCG00360.1, ATCG00510.1, ATCG00520.1, ATCG00630.1, ATCG01060.1
rxn29919	(1) Glyceraldehyde3-phosphate[0] + (1) Sedoheptulose7-phosphate[0] <=> (1) D-Erythrose4-phosphate[0] + (1) beta-D-Fructose 6-phosphate[0]	AT1G12230.2, AT5G13420.1
rxn37018	(1) ATP[0] + (1) beta-D-Ribofuranose[0] => (1) ADP[0] + (1) H+[0] + (1) ribose-5-phosphate[0]	AT1G17160.1, AT5G43910.2
