OG0006824	Athaliana_TAIR10||AT1G63970.1	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12) # plastid
OG0003829	Athaliana_TAIR10||AT4G21534.1	Sphinganine kinase (EC 2.7.1.91)
OG0003829	Athaliana_TAIR10||AT4G21540.1	Sphinganine kinase (EC 2.7.1.91)
OG0002283	Athaliana_TAIR10||AT3G13930.1	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) # mitochondria
OG0002283	Athaliana_TAIR10||AT3G52200.2	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) # mitochondria
OG0002283	Athaliana_TAIR10||AT1G54220.1	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) # mitochondria
OG0007240	Athaliana_TAIR10||AT1G16340.4	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)
OG0007240	Athaliana_TAIR10||AT1G79500.5	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)
OG0001334	Athaliana_TAIR10||AT3G11170.1	Omega-3 fatty acid desaturase (EC 1.14.19.-) # plastid
OG0001334	Athaliana_TAIR10||AT2G29980.1	Omega-3 fatty acid desaturase (EC 1.14.19.-) / Omega-3 linoleate desaturase (EC 1.14.19.-) # endoplasm
OG0001334	Athaliana_TAIR10||AT5G05580.1	Omega-3 fatty acid desaturase (EC 1.14.19.-) # plastid
OG0004877	Athaliana_TAIR10||AT3G52730.1	Ubiquinol-cytochrome c reductase complex subunit 9 # mitointer
OG0006551	Athaliana_TAIR10||AT1G68750.1	Phosphoenolpyruvate carboxylase (EC 4.1.1.31) # cytosol
OG0000975	Athaliana_TAIR10||AT5G11670.1	NADP-dependent malic enzyme (EC 1.1.1.40) # cytosol
OG0000975	Athaliana_TAIR10||AT2G19900.1	NADP-dependent malic enzyme (EC 1.1.1.40) # cytosol
OG0000975	Athaliana_TAIR10||AT1G79750.1	NADP-dependent malic enzyme (EC 1.1.1.40) # plastid
OG0000975	Athaliana_TAIR10||AT5G25880.1	NADP-dependent malic enzyme (EC 1.1.1.40) # cytosol
OG0003471	Athaliana_TAIR10||AT4G04040.1	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90) # cytosol
OG0003471	Athaliana_TAIR10||AT1G12000.1	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90) # plastid
OG0005782	Athaliana_TAIR10||AT3G55360.1	Very-long-chain enoyl-CoA reductase (EC 1.3.1.93)
OG0000457	Athaliana_TAIR10||AT4G15760.1	Uncurated
OG0000457	Athaliana_TAIR10||AT5G05320.1	Monooxygenase
OG0000457	Athaliana_TAIR10||AT2G29720.1	Uncurated
OG0000457	Athaliana_TAIR10||AT2G35660.1	Uncurated
OG0000457	Athaliana_TAIR10||AT4G15765.1	Uncurated
OG0000457	Athaliana_TAIR10||AT4G38540.1	Uncurated
OG0003799	Athaliana_TAIR10||AT5G23250.1	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5) # mitochondria
OG0003799	Athaliana_TAIR10||AT5G08300.1	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5) # mitochondria
OG0005142	Athaliana_TAIR10||AT3G60100.1	Citrate synthase (si) (EC 2.3.3.1) # mitochondria
OG0005142	Athaliana_TAIR10||AT2G44350.2	Citrate synthase (si) (EC 2.3.3.1) # mitochondria
OG0006704	Athaliana_TAIR10||AT1G68760.1	Dihydroneopterin triphosphate diphosphatase (EC 3.6.1.n4) # cytosol
OG0005031	Athaliana_TAIR10||AT5G52560.1	UDP-sugar pyrophosphorylase (EC 2.7.7.64)
OG0005600	Athaliana_TAIR10||AT1G14810.1	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11) # cytosol # plastid
OG0002377	Athaliana_TAIR10||AT2G13560.1	NAD-dependent malic enzyme (EC 1.1.1.38) # mitochondria
OG0002377	Athaliana_TAIR10||AT4G00570.1	NAD-dependent malic enzyme (EC 1.1.1.38) # mitochondria
OG0003064	Athaliana_TAIR10||AT4G24450.1	Phosphoglucan, water dikinase (EC 2.7.9.5) # plastid
OG0003064	Athaliana_TAIR10||AT1G10760.1	Starch, water dikinase (EC 2.7.9.4) # plastid
OG0005254	Athaliana_TAIR10||AT5G26570.1	Phosphoglucan, water dikinase (EC 2.7.9.5) # plastid
OG0001851	Athaliana_TAIR10||AT3G55610.1	Gamma-glutamyl phosphate reductase (EC 1.2.1.41) / Glutamate 5-kinase (EC 2.7.2.11) # cytosol # plastid
OG0001851	Athaliana_TAIR10||AT2G39800.1	Gamma-glutamyl phosphate reductase (EC 1.2.1.41) / Glutamate 5-kinase (EC 2.7.2.11) # cytosol # plastid
OG0002845	Athaliana_TAIR10||ATCG00540.1	Cytochrome b6-f complex subunit, apocytochrome f # plastid
OG0001508	Athaliana_TAIR10||AT4G33510.1	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54) # plastid
OG0001508	Athaliana_TAIR10||AT1G22410.1	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54) # plastid
OG0001508	Athaliana_TAIR10||AT4G39980.1	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54) # plastid
OG0005170	Athaliana_TAIR10||AT2G44050.1	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78) # plastid
OG0004686	Athaliana_TAIR10||AT1G21640.2	NAD kinase (EC 2.7.1.23) # plastid
OG0004672	Athaliana_TAIR10||AT3G06580.1	Galactokinase (EC 2.7.1.6)
OG0002694	Athaliana_TAIR10||AT2G32260.1	Cholinephosphate cytidylyltransferase (EC 2.7.7.15)
OG0007321	Athaliana_TAIR10||AT5G57590.1	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) / Dethiobiotin synthetase (EC 6.3.3.3) # mitochondria
OG0000357	Athaliana_TAIR10||AT5G22420.1	Long chain fatty acyl-CoA reductase [alcohol-forming] (EC 1.2.1.n2)
OG0000357	Athaliana_TAIR10||AT3G44550.1	Long chain fatty acyl-CoA reductase [alcohol-forming] (EC 1.2.1.n2)
OG0000357	Athaliana_TAIR10||AT3G56700.1	Long chain fatty acyl-CoA reductase [alcohol-forming] (EC 1.2.1.n2)
OG0000357	Athaliana_TAIR10||AT3G44560.1	Long chain fatty acyl-CoA reductase [alcohol-forming] (EC 1.2.1.n2)
OG0000357	Athaliana_TAIR10||AT5G22500.1	Long chain fatty acyl-CoA reductase [alcohol-forming] (EC 1.2.1.n2)
OG0000357	Athaliana_TAIR10||AT3G44540.1	Long chain fatty acyl-CoA reductase [alcohol-forming] (EC 1.2.1.n2)
OG0000357	Athaliana_TAIR10||AT4G33790.1	Long chain fatty acyl-CoA reductase [alcohol-forming] (EC 1.2.1.n2) # endoplasm
OG0000357	Athaliana_TAIR10||AT3G11980.1	Long chain fatty acyl-CoA reductase [alcohol-forming] (EC 1.2.1.n2) # plastid
OG0001925	Athaliana_TAIR10||AT1G43710.1	L-Serine decarboxylase (EC 4.1.1.-)
OG0007192	Athaliana_TAIR10||AT2G37500.1	Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1) # plastid
OG0001153	Athaliana_TAIR10||AT4G23920.1	UDP-glucose 4-epimerase (EC 5.1.3.2)
OG0001153	Athaliana_TAIR10||AT1G64440.1	UDP-glucose 4-epimerase (EC 5.1.3.2)
OG0001153	Athaliana_TAIR10||AT4G10960.1	UDP-glucose 4-epimerase (EC 5.1.3.2)
OG0001153	Athaliana_TAIR10||AT1G12780.1	UDP-glucose 4-epimerase (EC 5.1.3.2)
OG0001153	Athaliana_TAIR10||AT1G63180.1	UDP-glucose 4-epimerase (EC 5.1.3.2)
OG0002628	Athaliana_TAIR10||AT5G52920.1	Pyruvate kinase (EC 2.7.1.40) # plastid
OG0002628	Athaliana_TAIR10||AT1G32440.1	Pyruvate kinase (EC 2.7.1.40) # plastid
OG0003725	Athaliana_TAIR10||AT5G25450.1	Ubiquinol-cytochrome c reductase complex subunit 7 # mitointer
OG0003725	Athaliana_TAIR10||AT4G32470.1	Ubiquinol-cytochrome c reductase complex subunit 7 # mitointer
OG0000558	Athaliana_TAIR10||AT4G12250.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6)
OG0000558	Athaliana_TAIR10||AT4G30440.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6) # golgi
OG0000558	Athaliana_TAIR10||AT3G23820.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6) # golgi
OG0000558	Athaliana_TAIR10||AT4G00110.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6)
OG0000558	Athaliana_TAIR10||AT1G02000.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6)
OG0000558	Athaliana_TAIR10||AT2G45310.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6)
OG0006552	Athaliana_TAIR10||AT3G03070.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6 # mitointer
OG0001036	Athaliana_TAIR10||AT5G38420.1	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39) # plastid
OG0001036	Athaliana_TAIR10||AT5G38430.1	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39) # plastid
OG0001036	Athaliana_TAIR10||AT5G38410.3	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39) # plastid
OG0001036	Athaliana_TAIR10||AT1G67090.1	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39) # plastid # peroxisome
OG0002237	Athaliana_TAIR10||AT4G36220.1	Ferulate-5-hydroxylase (EC 1.14.13.-) # endoplasm
OG0002237	Athaliana_TAIR10||AT5G04330.1	Uncurated
OG0003090	Athaliana_TAIR10||AT2G30570.1	Photosystem II 13 kDa protein Psb28 (similar to PsbW) # plastid
OG0001138	Athaliana_TAIR10||AT2G17640.1	Serine acetyltransferase (EC 2.3.1.30) # cytosol
OG0001138	Athaliana_TAIR10||AT1G55920.1	Serine acetyltransferase (EC 2.3.1.30) # cytosol # plastid
OG0001138	Athaliana_TAIR10||AT4G35640.1	Serine acetyltransferase (EC 2.3.1.30) # cytosol
OG0001138	Athaliana_TAIR10||AT5G56760.1	Serine acetyltransferase (EC 2.3.1.30) # cytosol
OG0001138	Athaliana_TAIR10||AT3G13110.1	Serine acetyltransferase (EC 2.3.1.30) # mitochondria
OG0004865	Athaliana_TAIR10||AT1G51400.1	Photosystem II protein PsbTn # plastid
OG0004865	Athaliana_TAIR10||AT3G21055.1	Photosystem II protein PsbTn # plastid
OG0006952	Athaliana_TAIR10||AT1G49570.1	Peroxidase (EC 1.11.1.7)
OG0006739	Athaliana_TAIR10||AT2G15620.1	Ferredoxin--nitrite reductase (EC 1.7.7.1) # plastid
OG0005665	Athaliana_TAIR10||AT5G47570.1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8 # mitointer
OG0008066	Athaliana_TAIR10||AT1G79790.1	FMN hydrolase, high substrate specificity (EC 3.1.3.-) # plastid
OG0007656	Athaliana_TAIR10||AT1G60600.2	1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74) / 2-Carboxy-1,4-naphthoquinone phytyltransferase (EC 2.5.1.130) # plastid
OG0006075	Athaliana_TAIR10||AT1G37150.2	Uncurated
OG0006075	Athaliana_TAIR10||AT2G25710.1	Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)
OG0004080	Athaliana_TAIR10||AT3G02780.1	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2) # cytosol # plastid # mitochondria
OG0004080	Athaliana_TAIR10||AT5G16440.1	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2) # cytosol # plastid
OG0002618	Athaliana_TAIR10||AT3G23580.1	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1) # cytosol
OG0002618	Athaliana_TAIR10||AT3G27060.1	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1) # cytosol
OG0006561	Athaliana_TAIR10||AT3G29090.1	Pectinesterase (EC 3.1.1.11)
OG0005096	Athaliana_TAIR10||AT4G12800.1	photosystem I subunit XI (PsaL) # plastid
OG0002978	Athaliana_TAIR10||AT5G36790.1	Phosphoglycolate phosphatase (EC 3.1.3.18) # cytosol # plastid # nucleus
OG0002978	Athaliana_TAIR10||AT5G36700.1	Phosphoglycolate phosphatase (EC 3.1.3.18) # plastid
OG0002978	Athaliana_TAIR10||AT5G47760.1	Phosphoglycolate phosphatase (EC 3.1.3.18) # plastid
OG0000387	Athaliana_TAIR10||AT4G32170.1	Uncurated
OG0000387	Athaliana_TAIR10||AT1G57750.1	Mid-chain alkane hydroxylase, alcohol- and ketone- forming (no EC) # endoplasm
OG0000387	Athaliana_TAIR10||AT5G52320.1	Uncurated
OG0000387	Athaliana_TAIR10||AT2G21910.1	Uncurated
OG0000387	Athaliana_TAIR10||AT1G65340.1	Uncurated
OG0000387	Athaliana_TAIR10||AT5G02900.1	Uncurated
OG0000387	Athaliana_TAIR10||AT4G39500.1	Uncurated
OG0000387	Athaliana_TAIR10||AT2G23180.1	Uncurated
OG0000387	Athaliana_TAIR10||AT4G39480.1	Uncurated
OG0000387	Athaliana_TAIR10||AT4G39510.1	Uncurated
OG0000387	Athaliana_TAIR10||AT5G51900.1	Uncurated
OG0000387	Athaliana_TAIR10||AT1G66030.1	Uncurated
OG0000387	Athaliana_TAIR10||AT1G47620.1	Uncurated
OG0000387	Athaliana_TAIR10||AT4G39490.1	Uncurated
OG0000673	Athaliana_TAIR10||AT4G33580.2	Uncurated
OG0000673	Athaliana_TAIR10||AT1G23730.1	Uncurated
OG0000673	Athaliana_TAIR10||AT1G58180.2	Uncurated
OG0000673	Athaliana_TAIR10||AT3G01500.2	Carbonic anhydrase (EC 4.2.1.1) # plastid
OG0000673	Athaliana_TAIR10||AT1G70410.2	Uncurated
OG0000673	Athaliana_TAIR10||AT5G14740.1	Carbonic anhydrase (EC 4.2.1.1) # cytosol # plastid
OG0007911	Athaliana_TAIR10||AT5G64860.1	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25) # plastid
OG0001117	Athaliana_TAIR10||AT5G03650.1	1,4-alpha-glucan (starch) branching enzyme, GH-13-type (EC 2.4.1.18) # plastid
OG0001117	Athaliana_TAIR10||AT2G36390.1	1,4-alpha-glucan (starch) branching enzyme, GH-13-type (EC 2.4.1.18) # plastid
OG0001117	Athaliana_TAIR10||AT3G20440.2	1,4-alpha-glucan (starch) branching enzyme, GH-13-type (EC 2.4.1.18) # plastid
OG0002646	Athaliana_TAIR10||AT1G71695.1	Peroxidase (EC 1.11.1.7) # cellwall
OG0002260	Athaliana_TAIR10||AT2G30490.1	Trans-cinnamate 4-monooxygenase (EC 1.14.13.11) # endoplasm
OG0003466	Athaliana_TAIR10||ATCG00600.1	Cytochrome b6-f complex subunit V (PetG) # plastid
OG0000313	Athaliana_TAIR10||AT5G57840.1	Uncurated
OG0000313	Athaliana_TAIR10||AT5G48930.1	Shikimate O-hydroxycinnamoyltransferase (EC 2.3.1.133)
OG0000313	Athaliana_TAIR10||AT2G19070.1	Uncurated
OG0004774	Athaliana_TAIR10||AT1G49820.1	5-methylthioribose kinase (EC 2.7.1.100) # cytosol
OG0007671	Athaliana_TAIR10||AT5G47500.1	Pectinesterase (EC 3.1.1.11)
OG0003894	Athaliana_TAIR10||AT2G24270.4	Non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase (NADP) (EC 1.2.1.9) # cytosol
OG0008617	Athaliana_TAIR10||AT2G21370.1	Xylulose kinase (EC 2.7.1.17) # cytosol # plastid
OG0001688	Athaliana_TAIR10||AT2G36580.1	Pyruvate kinase (EC 2.7.1.40) # cytosol
OG0001688	Athaliana_TAIR10||AT3G52990.1	Pyruvate kinase (EC 2.7.1.40) # cytosol
OG0005264	Athaliana_TAIR10||AT1G44575.1	Photosystem II CP22 protein PsbS # plastid
OG0001499	Athaliana_TAIR10||AT3G14790.1	UDP-4-dehydro-6-deoxy-glucose 3,5-epimerase (no EC) / UDP-4-dehydro-rhamnose reductase (EC 1.1.1.-) / UDP-glucose 4,6-dehydratase (EC 4.2.1.76)
OG0001499	Athaliana_TAIR10||AT1G53500.1	UDP-4-dehydro-6-deoxy-glucose 3,5-epimerase (no EC) / UDP-4-dehydro-rhamnose reductase (EC 1.1.1.-) / UDP-glucose 4,6-dehydratase (EC 4.2.1.76)
OG0001499	Athaliana_TAIR10||AT1G78570.1	UDP-4-dehydro-6-deoxy-glucose 3,5-epimerase (no EC) / UDP-4-dehydro-rhamnose reductase (EC 1.1.1.-) / UDP-glucose 4,6-dehydratase (EC 4.2.1.76) # cytosol
OG0002253	Athaliana_TAIR10||AT4G26770.1	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
OG0002253	Athaliana_TAIR10||AT4G22340.3	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
OG0002253	Athaliana_TAIR10||AT1G62430.1	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
OG0004643	Athaliana_TAIR10||AT5G47890.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 # mitointer
OG0003181	Athaliana_TAIR10||AT5G54770.1	Thiazole biosynthetic enzyme Thi4 # plastid
OG0006236	Athaliana_TAIR10||AT5G60600.1	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1) # plastid
OG0001659	Athaliana_TAIR10||AT3G47340.1	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
OG0001659	Athaliana_TAIR10||AT5G10240.1	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
OG0001659	Athaliana_TAIR10||AT5G65010.2	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
OG0007060	Athaliana_TAIR10||AT4G32360.1	Adrenodoxin reductase (EC 1.18.1.6) # mitochondria
OG0002894	Athaliana_TAIR10||AT2G06520.1	Photosystem II protein PsbX # plastid
OG0006513	Athaliana_TAIR10||AT1G71920.2	Histidinol-phosphate aminotransferase (EC 2.6.1.9) # plastid
OG0006513	Athaliana_TAIR10||AT5G10330.1	Histidinol-phosphate aminotransferase (EC 2.6.1.9) # plastid
OG0003985	Athaliana_TAIR10||AT2G17420.1	Thioredoxin reductase (EC 1.8.1.9) # cytosol # mitochondria
OG0003985	Athaliana_TAIR10||AT4G35460.1	Thioredoxin reductase (EC 1.8.1.9) # cytosol # mitochondria
OG0009093	Athaliana_TAIR10||AT5G14220.1	Protoporphyrinogen IX oxidase, aerobic, HemY (EC 1.3.3.4)
OG0006330	Athaliana_TAIR10||AT1G08380.1	photosystem I subunit PsaO # plastid
OG0000647	Athaliana_TAIR10||AT3G25110.1	Oleoyl-[acyl carrier protein] thioesterase (EC 3.1.2.14) # plastid
OG0000647	Athaliana_TAIR10||AT1G08510.1	Oleoyl-[acyl carrier protein] thioesterase (EC 3.1.2.14) / Palmitoyl-[acyl carrier protein] thioesterase (EC 3.1.2.-) / Stearoyl-[acyl carrier protein] thioesterase (EC 3.1.2.-) # plastid
OG0000647	Athaliana_TAIR10||AT4G13050.1	Oleoyl-[acyl carrier protein] thioesterase (EC 3.1.2.14) # plastid
OG0001276	Athaliana_TAIR10||AT2G17370.1	Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)
OG0001276	Athaliana_TAIR10||AT1G76490.1	Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34) # cytosol # endoplasm
OG0004255	Athaliana_TAIR10||AT3G61530.1	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) # mitochondria
OG0004255	Athaliana_TAIR10||AT2G46110.1	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) # mitochondria
OG0005945	Athaliana_TAIR10||AT3G16190.1	Nicotinamidase (EC 3.5.1.19) of PncA family, nonfunctional
OG0073630	Athaliana_TAIR10||AT3G14300.1	Pectinesterase (EC 3.1.1.11)
OG0007994	Athaliana_TAIR10||AT1G01220.1	Fucose-1-phosphate guanylyltransferase (EC 2.7.7.30) / L-fucose kinase (EC 2.7.1.52)
OG0000952	Athaliana_TAIR10||AT1G64400.1	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
OG0000952	Athaliana_TAIR10||AT4G11030.1	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
OG0000952	Athaliana_TAIR10||AT4G23850.1	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
OG0000952	Athaliana_TAIR10||AT2G47240.1	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) # endoplasm
OG0000952	Athaliana_TAIR10||AT1G49430.1	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
OG0003158	Athaliana_TAIR10||AT2G16570.1	Amidophosphoribosyltransferase (EC 2.4.2.14) # plastid
OG0003158	Athaliana_TAIR10||AT4G34740.1	Amidophosphoribosyltransferase (EC 2.4.2.14) # plastid
OG0003158	Athaliana_TAIR10||AT4G38880.1	Amidophosphoribosyltransferase (EC 2.4.2.14) # plastid
OG0006641	Athaliana_TAIR10||AT2G02510.1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 # mitointer
OG0006641	Athaliana_TAIR10||AT1G14450.1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 # mitointer
OG0003239	Athaliana_TAIR10||AT4G39540.3	Shikimate kinase I (EC 2.7.1.71) # plastid
OG0003239	Athaliana_TAIR10||AT2G21940.4	Shikimate kinase I (EC 2.7.1.71) # plastid
OG0002540	Athaliana_TAIR10||AT1G06690.1	Uncurated
OG0002540	Athaliana_TAIR10||AT5G53580.1	Pyridoxal reductase (EC 1.1.1.65) # plastid
OG0000074	Athaliana_TAIR10||AT1G68540.1	Uncurated
OG0000074	Athaliana_TAIR10||AT5G58490.1	Uncurated
OG0000074	Athaliana_TAIR10||AT2G02400.1	Uncurated
OG0000074	Athaliana_TAIR10||AT5G19440.1	Uncurated
OG0000074	Athaliana_TAIR10||AT2G33590.1	Uncurated
OG0000074	Athaliana_TAIR10||AT1G09480.1	Uncurated
OG0000074	Athaliana_TAIR10||AT2G33600.1	Uncurated
OG0000074	Athaliana_TAIR10||AT1G09510.1	Uncurated
OG0000074	Athaliana_TAIR10||AT1G80820.1	Cinnamoyl-CoA reductase (EC 1.2.1.44)
OG0000074	Athaliana_TAIR10||AT1G51410.1	Uncurated
OG0000074	Athaliana_TAIR10||AT1G09490.1	Uncurated
OG0000074	Athaliana_TAIR10||AT4G35420.1	Uncurated
OG0000074	Athaliana_TAIR10||AT1G09500.1	Uncurated
