Role	Aly	Ath	Bdi	Cre	Gma	Ogl	Osa	Ptr	Sbi	Vvi	Zma
12-hydroxyjasmonate sulfotransferase (EC 2.8.2.-)	fgenesh2_kg.6__655__AT5G07010.1	AT5G07010			GLYMA11G25960			POPTR_0003s19290		Vv13s0084g00240|Vv13s0084g00250	
12-oxophytodienoate reductase (EC 1.3.1.42)	fgenesh2_kg.2__1958__AT1G76680.1|fgenesh2_kg.3__2917__AT2G06050.1	AT1G76680|AT1G76690|AT2G06050	BRADI3G37650|BRADI5G11261	CHLREDRAFT_121264	GLYMA01G44580|GLYMA01G44600|GLYMA04G35801|GLYMA11G00980|GLYMA13G16940|GLYMA13G16950|GLYMA17G05770|GLYMA17G05780|GLYMA19G09320	ORGLA04G0108600|ORGLA08G0150300	OS08G0459600	POPTR_0004s22180|POPTR_0004s22190|POPTR_0006s14520|POPTR_0006s14540|POPTR_0013s10150|POPTR_0013s10160|POPTR_0013s10170|POPTR_0013s10180|POPTR_0018s07120	Sb06g017670|Sb06g017680|Sb07g022500	Vv11s0016g01230|Vv18s0041g02010|Vv18s0041g02020|Vv18s0041g02040|Vv18s0041g02050|Vv18s0041g02060|Vv18s0041g02070|Vv18s0041g02080|Vv18s0041g02090|Vv18s0041g02260|Vv18s0041g02270	GRMZM2G082087|GRMZM2G148281
15-cis-zeta-carotene isomerase (EC 5.2.1.12)	fgenesh2_kg.1__1173__AT1G10830.1	AT1G10830	BRADI4G08060	CHLREDRAFT_108766	GLYMA11G36870|GLYMA18G00770	ORGLA12G0088800	OS12G0405200	POPTR_0014s14400	Sb08g014610	Vv05s0062g01110	GRMZM2G011746
3-Indoleacetonitrile aminohydrolase(EC 3.5.5.1)	Al_scaffold_0006_2098|fgenesh1_pm.C_scaffold_5000676|fgenesh2_kg.5__841__AT3G44320.1	AT3G44300|AT3G44310	BRADI3G49620|BRADI3G49630		GLYMA11G18620|GLYMA12G09750		OS02G0635000|OS02G0635200	POPTR_0004s20980|POPTR_0006s22420|POPTR_0009s16260	Sb04g026930|Sb04g026940|Sb04g026950|Sb06g023120	Vv02s0033g00630|Vv02s0033g00660|Vv02s0033g00670|Vv02s0033g00700|Vv02s0033g00770|Vv02s0033g00790|Vv02s0033g00800|Vv02s0033g00850|Vv02s0033g00870|Vv02s0109g00430|Vv06s0080g00940|Vv06s0080g00950	GRMZM2G111225|GRMZM2G178517
3-epi-6-deoxocathasterone 23-monooxygenase (EC 1.14.13.112)	Al_scaffold_0180_2|fgenesh1_pm.C_scaffold_3001168	AT3G13730	BRADI2G05980		GLYMA07G01285|GLYMA08G20690	ORGLA01G0058700|ORGLA08G0200200	OS01G0197100|OS05G0200400	POPTR_0001s20720|POPTR_0003s03030	Sb03g002870	Vv09s0002g02080	GRMZM2G143235
3-hydroxy-indole-3-butyryl-CoA dehydrogenase (EC 1.1.-.-)	fgenesh2_kg.6__3202__AT4G05530.1	AT4G05530	BRADI2G34780	CHLREDRAFT_137062	GLYMA09G01170|GLYMA15G11980|GLYMA17G01300	ORGLA09G0013300	OS09G0133200	POPTR_0011s00810|POPTR_0011s00830	Sb02g009510|Sb09g027400	Vv00s0516g00030	GRMZM2G041694|GRMZM2G109743
3-hydroxyacyl-CoA dehydrogenase	fgenesh2_kg.6__3202__AT4G05530.1	AT4G05530	BRADI2G34780	CHLREDRAFT_137062	GLYMA09G01170|GLYMA15G11980|GLYMA17G01300	ORGLA09G0013300	OS09G0133200	POPTR_0011s00810|POPTR_0011s00830	Sb02g009510|Sb09g027400	Vv00s0516g00030	GRMZM2G041694|GRMZM2G109743
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	fgenesh2_kg.3__707__AT3G06860.1|fgenesh2_kg.7__1290__AT4G29010.1	AT3G06860|AT4G29010	BRADI2G43020|BRADI3G10180|BRADI4G28310	CHLREDRAFT_132158	GLYMA07G09370|GLYMA07G37570|GLYMA07G37590|GLYMA09G32430|GLYMA17G03070|GLYMA17G03080|GLYMA20G12165	ORGLA01G0120500|ORGLA02G0108000|ORGLA05G0035800|ORGLA05G0115200	OS01G0348600|OS02G0274100|OS05G0155000|OS05G0362100	POPTR_0008s22410|POPTR_0010s01560|POPTR_0010s01570|POPTR_0018s08940	Sb03g013790|Sb04g010370|Sb09g017970	Vv05s0077g02140|Vv11s0016g03690	GRMZM2G117357|GRMZM2G132903|GRMZM2G177404|GRMZM5G854613
3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	fgenesh1_pm.C_scaffold_7001733	AT4G20930	BRADI1G32590		GLYMA09G02900|GLYMA15G13865		OS06G0677400	POPTR_0001s46990	Sb10g027170	Vv10s0003g05040	GRMZM2G014813
3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	Al_scaffold_0004_1497|fgenesh2_kg.4__1043__AT2G30650.1|scaffold_803541.1	AT2G30650|AT2G30660|AT5G65940	BRADI3G34005|BRADI3G34020		GLYMA16G08960	ORGLA10G0144600|ORGLA12G0075000	OS12G0264500	POPTR_0014s17710	Sb01g028410	Vv09s0002g07160|Vv13s0047g00380|Vv15s0045g01170	AC234154.1_FG007|GRMZM2G000092|GRMZM2G034153|GRMZM2G115630|GRMZM2G181227
3-oxo-5-alpha-steroid 4-dehydrogenase (NADP+)	Al_scaffold_0004_2365	AT2G38050			GLYMA07G17410|GLYMA11G01210			POPTR_0005s04930|POPTR_0013s13810|POPTR_0016s11800		Vv08s0007g01760	
3-oxo-5-alpha-steroid 4-dehydrogenase family protein	Al_scaffold_0004_2365	AT2G38050			GLYMA07G17410|GLYMA11G01210			POPTR_0005s04930|POPTR_0013s13810|POPTR_0016s11800		Vv08s0007g01760	
4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)	scaffold_501758.1	AT3G48170	BRADI5G12617	CHLREDRAFT_24394		ORGLA04G0122100	OS04G0464200		Sb06g019200	Vv17s0000g07650|Vv17s0000g07660	GRMZM2G135470
4-hydroxyphenylacetaldehyde oxime monooxygenase (EC 1.14.13.68)	Al_scaffold_0005_2226|Al_scaffold_0005_2227|Al_scaffold_0005_443|Al_scaffold_0005_456|fgenesh1_pg.C_scaffold_1001177|fgenesh1_pg.C_scaffold_4000314|fgenesh1_pg.C_scaffold_5000381|fgenesh1_pg.C_scaffold_5000386|fgenesh1_pm.C_scaffold_4000881|fgenesh1_pm.C_scaffold_5000301|fgenesh1_pm.C_scaffold_5000671|fgenesh1_pm.C_scaffold_8001367|fgenesh2_kg.165__1__AT1G13110.1|fgenesh2_kg.1__1415__AT1G13080.1|fgenesh2_kg.1__1416__AT1G13100.1|fgenesh2_kg.1__1418__AT1G13110.1|fgenesh2_kg.4__1054__AT2G30770.1|fgenesh2_kg.4__333__AT2G24180.1|fgenesh2_kg.5__1180__AT3G48270.1|fgenesh2_kg.5__1181__AT3G48280.1|fgenesh2_kg.5__1183__AT3G48310.1|fgenesh2_kg.5__376__AT3G26170.1|fgenesh2_kg.5__379__AT3G26190.1|fgenesh2_kg.5__380__AT3G26200.1|fgenesh2_kg.5__382__AT3G26220.1|fgenesh2_kg.5__386__AT3G26300.1|fgenesh2_kg.5__388__AT3G26330.1|fgenesh2_kg.5__451__AT3G26830.1|fgenesh2_kg.6__2500__AT5G25130.1|fgenesh2_kg.6__2504__AT5G25180.1|scaffold_500511.1|scaffold_500515.1|scaffold_500517.1|scaffold_501777.1|scaffold_502419.1	AT1G11610|AT1G13080|AT1G13090|AT1G13100|AT1G13110|AT2G02580|AT2G24180|AT2G30750|AT2G30770|AT3G26150|AT3G26160|AT3G26170|AT3G26180|AT3G26190|AT3G26200|AT3G26210|AT3G26220|AT3G26230|AT3G26270|AT3G26280|AT3G26290|AT3G26300|AT3G26310|AT3G26320|AT3G26330|AT3G26830|AT3G44250|AT3G48270|AT3G48280|AT3G48290|AT3G48310|AT3G48320|AT3G53280|AT3G53290|AT3G53300|AT3G53305|AT4G13310|AT4G20240|AT5G24960|AT5G25120|AT5G25130|AT5G25140|AT5G25180|AT5G35715|AT5G42590|AT5G57260									
5-nucleotidase SurE (EC 3.1.3.5)	Al_scaffold_0002_1979|fgenesh2_kg.2__1553__AT1G72880.1|fgenesh2_kg.7__2831__AT4G14930.1	AT1G72880|AT4G14930	BRADI2G47910		GLYMA01G10326|GLYMA01G44900|GLYMA07G01071|GLYMA08G20460|GLYMA09G07430|GLYMA11G00740|GLYMA13G42420|GLYMA15G02970			POPTR_0001s20350|POPTR_0003s04320|POPTR_0010s09840|POPTR_0683s00200	Sb03g032610	Vv05s0020g03370|Vv09s0002g01650	GRMZM2G102404
5-oxoprolinase (EC 3.5.2.9)	Al_scaffold_0007_3395	AT5G37830	BRADI3G31390	CHLREDRAFT_123233	GLYMA08G07400	ORGLA01G0388400	OS01G0966000	POPTR_0004s09010|POPTR_0005s14620	Sb01g031300	Vv08s0007g00060	GRMZM2G045090
6'-deoxychalcone synthase (EC 2.3.1.170)	fgenesh2_kg.2__444__AT1G59960.1	AT1G59960									
6-Deoxocastasterone:brassinosteroid C6-oxidase (EC 1.14.-.-.)	fgenesh2_kg.5__709__AT3G30180.1|fgenesh2_kg.7__3518__AT5G38970.1	AT3G30180|AT5G38970	BRADI1G15030		GLYMA08G27600|GLYMA13G06700|GLYMA18G50790|GLYMA19G04250	ORGLA03G0235500	OS03G0602300	POPTR_0004s11680|POPTR_0017s13340	Sb01g015040	Vv01s0011g00170|Vv01s0011g00190|Vv14s0083g01110	GRMZM2G103773
6-Deoxocathasterone:brassinosteroid C23alpha-hydroxylase (EC 1.14.-.-.)	scaffold_600542.1	AT5G05690	BRADI4G43110		GLYMA02G42390|GLYMA11G35150|GLYMA14G06530|GLYMA18G03211	ORGLA11G0024300|ORGLA12G0022400	OS11G0143200|OS12G0139300	POPTR_0008s06740|POPTR_0010s19710	Sb05g002580	Vv13s0067g00660	GRMZM2G012391|GRMZM2G162737
9-cis-epoxycarotenoid dioxygenase NCED2, chloroplastic (AtNCED2) (EC 1.13.11.51)	fgenesh2_kg.7__2463__AT4G18350.1	AT4G18350									
9-cis-epoxycarotenoid dioxygenase NCED6, chloroplastic (AtNCED6) (EC 1.13.11.51)	fgenesh1_pg.C_scaffold_8000681|scaffold_302916.1	AT3G24220						POPTR_0003s17490		Vv05s0051g00670	
9-cis-epoxycarotenoid dioxygenase NCED9, chloroplastic (AtNCED9) (EC 1.13.11.51)	scaffold_202809.1|scaffold_6000006.1	AT1G78390				ORGLA07G0029500	OS07G0154100		Sb02g003230|Sb02g003240|Sb04g008680		GRMZM2G408158
AMP deaminase (EC 3.5.4.6)	fgenesh2_kg.4__1897__AT2G38280.2	AT2G38280	BRADI2G28450	CHLREDRAFT_102200	GLYMA01G29470|GLYMA03G07460|GLYMA08G40690|GLYMA12G20685|GLYMA13G04390|GLYMA13G04401|GLYMA18G16600	ORGLA07G0217300	OS05G0349200	POPTR_0006s10290|POPTR_0010s04380|POPTR_0010s04390|POPTR_0016s12680	Sb09g016850	Vv01s0026g01480|Vv08s0105g00570	GRMZM2G416667
Abscisate beta-glucosyltransferase (EC 2.4.1.263)	fgenesh1_pg.C_scaffold_3002091	AT3G21780									
Abscisic acid 8'-hydroxylase (EC 1.14.13.93)	Al_scaffold_0008_326|fgenesh2_kg.3__2143__AT3G19270.1|fgenesh2_kg.4__888__AT2G29090.1|fgenesh2_kg.7__2358__AT4G19230.2|fgenesh2_kg.7__3518__AT5G38970.1|scaffold_502097.1|scaffold_600542.1	AT2G29090|AT3G19270|AT3G50660|AT4G19230|AT5G05690|AT5G38970|AT5G45340	BRADI1G69040|BRADI3G38150|BRADI3G52660|BRADI4G43110		GLYMA01G35660|GLYMA01G38180|GLYMA02G06410|GLYMA02G14920|GLYMA02G42390|GLYMA05G03800|GLYMA07G33560|GLYMA09G35250|GLYMA09G41960|GLYMA11G07240|GLYMA11G35150|GLYMA14G06530|GLYMA16G08340|GLYMA16G20490|GLYMA17G14310|GLYMA18G03211	ORGLA02G0251400|ORGLA08G0210800|ORGLA09G0097600|ORGLA11G0024300|ORGLA12G0022400	OS02G0703600|OS03G0227700|OS08G0472800|OS09G0457100|OS11G0143200|OS12G0139300	POPTR_0001s24940|POPTR_0004s11680|POPTR_0004s14820|POPTR_0004s24360|POPTR_0005s12550|POPTR_0007s12730|POPTR_0008s06740|POPTR_0009s03900|POPTR_0009s10450|POPTR_0010s19710	Sb01g041900|Sb02g026600|Sb04g030660|Sb05g002580|Sb07g022990	Vv01s0011g00170|Vv02s0087g00710|Vv03s0063g00380|Vv04s0023g01630|Vv06s0004g05050|Vv07s0031g00690|Vv13s0067g00660	GRMZM2G002142|GRMZM2G012391|GRMZM2G065635|GRMZM2G065928|GRMZM2G105954|GRMZM2G126505|GRMZM2G162737|GRMZM2G179147
Acetyl-coenzyme A synthetase (EC 6.2.1.1)	fgenesh1_pm.C_scaffold_7002472	AT5G36880	BRADI3G44620|BRADI5G08890	CHLREDRAFT_139750|CHLREDRAFT_194063|CHLREDRAFT_196311	GLYMA16G04910|GLYMA19G28300	ORGLA02G0161100|ORGLA04G0084500	OS02G0525900|OS04G0404800	POPTR_0014s13710	Sb04g021370|Sb06g015180	Vv14s0068g00640	GRMZM2G157269|GRMZM2G162663
Adenine phosphoribosyltransferase (EC 2.4.2.7)	fgenesh2_kg.1__2903__AT1G27450.1|fgenesh2_kg.6__1082__AT5G11160.1|fgenesh2_kg.7__2045__AT4G22570.1|scaffold_203067.1	AT1G27450|AT1G80050|AT4G22570|AT5G11160	BRADI3G48670|BRADI4G03060|BRADI5G14910	CHLREDRAFT_145209	GLYMA01G41970|GLYMA04G04770|GLYMA04G06990|GLYMA05G04310|GLYMA06G04850|GLYMA06G07090|GLYMA11G03400|GLYMA14G14270|GLYMA17G32080|GLYMA18G36100	ORGLA02G0207400|ORGLA04G0150000|ORGLA12G0149100|ORGLA12G0150700	OS02G0613900|OS04G0504000|OS07G0484800|OS12G0589100|OS12G0592400	POPTR_0001s00360|POPTR_0006s27200|POPTR_0014s01740|POPTR_0018s01860	Sb04g025930|Sb06g021810|Sb08g019790	Vv00s1847g00010|Vv04s0008g05620|Vv09s0002g07120|Vv18s0001g09220	GRMZM2G071846|GRMZM2G093347|GRMZM2G131907|GRMZM2G170101|GRMZM2G179810
Adenosine kinase (EC 2.7.1.20)	fgenesh2_kg.3__1006__AT3G09820.1|scaffold_101935.1|scaffold_600253.1	AT3G09820|AT5G03300	BRADI3G49230|BRADI5G15820	CHLREDRAFT_190547	GLYMA03G33910|GLYMA10G06580|GLYMA13G20780|GLYMA19G36630	ORGLA02G0213900|ORGLA04G0159400	OS02G0625500|OS04G0518000	POPTR_0008s03800|POPTR_0010s23120	Sb04g026500|Sb06g022730	Vv13s0019g04470|Vv13s0019g04480	GRMZM2G089767|GRMZM2G135132|GRMZM2G540538
Adenylate isopentenyltransferase [AMP] (EC 2.5.1.27)	fgenesh2_kg.2__1096__AT1G68460.1	AT1G68460			GLYMA10G41990						
Adenylate isopentenyltransferase [ATP/ADP] (EC 2.5.1.n4)	fgenesh2_kg.2__1096__AT1G68460.1|scaffold_302847.1|scaffold_503596.1|scaffold_601980.1|scaffold_701864.1	AT1G25410|AT1G68460|AT3G23630|AT3G63110|AT4G24650|AT5G19040			GLYMA10G41990			POPTR_0008s20650|POPTR_0010s03150		Vv05s0020g02630|Vv07s0104g00270	
Adenylyl-sulfate reductase [glutathione] (EC 1.8.4.9)	fgenesh2_kg.2__256__AT1G62180.1|scaffold_603774.1|scaffold_702177.1	AT1G62180|AT4G04610|AT4G21990	BRADI1G26530	CHLREDRAFT_131444	GLYMA07G39130|GLYMA09G00670|GLYMA15G11540	ORGLA07G0129400	OS07G0509800	POPTR_0004s01190|POPTR_0004s01220	Sb02g034370	Vv00s1490g00010|Vv10s0116g01650	AC189750.4_FG004|GRMZM2G087254
Adenylylsulfate kinase (EC 2.7.1.25)	fgenesh2_kg.3__3066__AT2G14750.1|fgenesh2_kg.8__2659__AT5G67520.1|scaffold_300380.1|scaffold_700225.1	AT2G14750|AT3G03900|AT4G39940|AT5G67520	BRADI1G23940	CHLREDRAFT_184419	GLYMA16G04530|GLYMA19G28900	ORGLA07G0251300	OS07G0573100	POPTR_0001s30060|POPTR_0009s09110|POPTR_0013s05450	Sb02g037100	Vv03s0091g00870|Vv07s0129g00060|Vv07s0129g00140|Vv08s0007g07370	GRMZM2G061234|GRMZM2G327406
Agmatine deiminase (EC 3.5.3.12)	fgenesh2_kg.6__786__AT5G08170.1	AT5G08170	BRADI4G28837|BRADI5G12810	CHLREDRAFT_178381	GLYMA17G09090	ORGLA04G0124100	OS04G0466600	POPTR_0015s06560	Sb06g019370	Vv17s0000g04660	GRMZM2G064159
Alanyl-tRNA synthetase (EC 6.1.1.7)	fgenesh2_kg.1__4106__AT1G50200.1	AT1G50200	BRADI3G22760	CHLREDRAFT_38643	GLYMA11G10860|GLYMA12G03140	ORGLA10G0033200	OS10G0182000	POPTR_0005s09710|POPTR_0007s07890	Sb01g021216|Sb06g000746|Sb08g008230|Sb09g008037	Vv01s0011g02280|Vv16s0039g01350|Vv16s0039g01390	GRMZM2G082271
Aldehyde dehydrogenase (EC 1.2.1.3)	Al_scaffold_0001_4669|fgenesh1_pg.C_scaffold_7001939|fgenesh2_kg.1__2595__AT1G23800.1|fgenesh2_kg.1__3759__AT1G44170.2|fgenesh2_kg.2__984__AT1G44170.2|fgenesh2_kg.3__681__AT3G66658.2|fgenesh2_kg.5__1153__AT3G48000.1|fgenesh2_kg.7__439__AT4G36250.1|scaffold_700712.1	AT1G23800|AT1G44170|AT3G48000|AT3G66658|AT4G34240|AT4G36250	BRADI1G17080|BRADI1G43770|BRADI4G23620|BRADI4G41190	CHLREDRAFT_135609|CHLREDRAFT_38942	GLYMA01G03820|GLYMA02G03870|GLYMA02G05760|GLYMA02G26390|GLYMA04G35220|GLYMA04G42740|GLYMA06G12010|GLYMA06G19560|GLYMA07G36910|GLYMA08G00490|GLYMA08G39770|GLYMA09G04060|GLYMA13G23950|GLYMA14G24140|GLYMA15G15070|GLYMA16G24420|GLYMA17G03650|GLYMA17G09860|GLYMA18G18910|GLYMA18G22820|GLYMA19G01390	ORGLA02G0266900|ORGLA06G0263900|ORGLA07G0214200|ORGLA11G0050700|ORGLA12G0044000	OS02G0730000|OS06G0270900|OS07G0688800|OS11G0186200|OS12G0178000	POPTR_0001s42150|POPTR_0002s08230|POPTR_0002s19060|POPTR_0005s07090|POPTR_0005s20150|POPTR_0007s13650|POPTR_0008s10550|POPTR_0012s08010|POPTR_0015s08540	Sb02g043660|Sb04g029040|Sb05g005470|Sb06g023975|Sb08g004840|Sb10g009790	Vv01s0026g00220|Vv01s0137g00080|Vv04s0023g02810|Vv05s0077g01060|Vv07s0031g02630|Vv14s0066g01550|Vv17s0000g08070|Vv18s0001g02440	GRMZM2G058675|GRMZM2G060800|GRMZM2G103546|GRMZM2G118800|GRMZM2G125268|GRMZM2G135341|GRMZM2G155502
Aldose-6-phosphate reductase, NADPH-dependent (EC 1.1.1.200)	fgenesh2_kg.4__45__AT2G21250.1|fgenesh2_kg.4__46__AT2G21260.1	AT2G21250|AT2G21260	BRADI3G02340		GLYMA12G04080	ORGLA02G0017100	OS02G0123500	POPTR_0009s12800	Sb04g001950	Vv03s0038g00800	GRMZM2G174481
Allantoate amidohydrolase (EC 3.5.3.9)	scaffold_702387.1	AT4G20070	BRADI1G31890		GLYMA09G05600|GLYMA15G16870	ORGLA06G0201400	OS06G0665500	POPTR_0001s16010	Sb10g026590	Vv01s0011g01290	
Allantoinase (EC 3.5.2.5)	fgenesh2_kg.6__3274__AT4G04955.1	AT4G04955	BRADI5G26410	CHLREDRAFT_190406	GLYMA13G31420|GLYMA13G31430|GLYMA15G07910|GLYMA15G07920	ORGLA04G0261900	OS04G0680400	POPTR_0004s04190	Sb06g033160		GRMZM2G173413
Allene oxide cyclase, chloroplast (EC 5.3.99.6)	fgenesh2_kg.5__331__AT3G25770.1|scaffold_500448.1	AT3G25760|AT3G25770									
Allene oxide synthase, chloroplast precursor (EC 4.2.1.92)	Al_scaffold_0008_816|fgenesh2_kg.8__593__AT5G42650.1	AT5G42650	BRADI1G07480		GLYMA04G03740|GLYMA09G18800|GLYMA14G08560|GLYMA17G36530	ORGLA03G0324500	OS03G0767000	POPTR_0002s13220|POPTR_0014s03820	Sb01g007000|Sb01g042270	Vv18s0001g11630	GRMZM2G002178|GRMZM2G033098|GRMZM2G067225|GRMZM2G072653|GRMZM2G376661
Allyl-alcohol dehydrogenase (EC 1.1.1.54)	fgenesh2_kg.4__1843__AT2G37770.2	AT2G37770		CHLREDRAFT_158244					Sb09g022370		
Alpha-galactosidase (EC 2.4.1.-)	fgenesh2_kg.6__3514__AT4G01970.1	AT4G01970			GLYMA19G40550			POPTR_0002s19450|POPTR_0014s11370		Vv05s0077g00840|Vv07s0005g01680	
Amidase (EC 3.5.1.4)	scaffold_100925.1	AT1G08980	BRADI5G27490	CHLREDRAFT_205899	GLYMA10G29640|GLYMA20G37660	ORGLA04G0007700	OS04G0118100	POPTR_0013s02500|POPTR_0013s02510|POPTR_1567s00200	Sb02g039510	Vv14s0128g00320	GRMZM2G169087
Ammonium transporter	fgenesh1_pg.C_scaffold_9000001|fgenesh2_kg.3__2643__AT3G24300.1|fgenesh2_kg.5__185__AT4G13510.1|fgenesh2_kg.7__2989__AT4G13510.1|fgenesh2_kg.7__2997__AT4G13510.1	AT3G24300|AT4G13510	BRADI3G48950|BRADI5G15360	CHLREDRAFT_158745|CHLREDRAFT_206117	GLYMA10G26690|GLYMA20G21030	ORGLA02G0211300|ORGLA02G0211400|ORGLA04G0154500	OS02G0620500|OS02G0620600|OS04G0509600	POPTR_0008s17390|POPTR_0010s07400	Sb04g026290|Sb06g022230	Vv05s0077g00030	GRMZM2G175140
Arachidonate 15-lipoxygenase (EC 1.13.11.33)	fgenesh2_kg.1__1901__AT1G17420.1	AT1G17420	BRADI5G11590			ORGLA03G0056300|ORGLA04G0110300	OS04G0447100	POPTR_0003s06560	Sb06g018040		GRMZM2G070092|GRMZM2G104843
Arginyl-tRNA synthetase (EC 6.1.1.19)	fgenesh2_kg.2__889__AT1G66530.1|fgenesh2_kg.3__2997__AT1G66530.1|scaffold_201252.1	AT1G66530	BRADI2G34680		GLYMA01G00940|GLYMA01G00960|GLYMA07G15050	ORGLA05G0040700	OS01G0158500|OS05G0163000		Sb09g004730	Vv11s0016g02990	GRMZM2G148709
Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)	fgenesh2_kg.7__1327__AT4G28680.1	AT4G28680									
Aromatic-amino-acid aminotransferase (EC 2.6.1.57)	scaffold_200255.1	AT1G62960	BRADI1G49966		GLYMA01G42290|GLYMA11G03070			POPTR_0003s11760		Vv00s1764g00010	
Aryl-alcohol dehydrogenase (EC 1.1.1.90)	fgenesh2_kg.1__2436__AT1G22430.1	AT1G22430	BRADI1G71890			ORGLA03G0063100	OS03G0189400			Vv18s0001g06360	GRMZM2G397055
Ascorbate peroxidase (EC 1.11.1.11)	scaffold_700960.1	AT4G32320			GLYMA04G07090			POPTR_0006s27060		Vv04s0008g05490	
Asparaginyl-tRNA synthetase (EC 6.1.1.22)	fgenesh2_kg.239__1__AT1G70980.1|fgenesh2_kg.3__763__AT3G07420.1|fgenesh2_kg.8__1574__AT5G56680.1|scaffold_202044.1	AT1G70980|AT3G07420|AT5G56680		CHLREDRAFT_117306	GLYMA01G24735|GLYMA05G36140|GLYMA08G03500					Vv00s2558g00010	
Aspartyl-tRNA synthetase (EC 6.1.1.12)	fgenesh2_kg.7__1056__AT4G31180.1|fgenesh2_kg.7__163__AT4G26870.1	AT4G26870|AT4G31180	BRADI4G07267|BRADI4G43390	CHLREDRAFT_191617	GLYMA14G11711|GLYMA17G34070	ORGLA02G0030800|ORGLA02G0243100	OS02G0139600|OS02G0686400	POPTR_0006s08550	Sb03g001240|Sb04g003180	Vv04s0008g03010	GRMZM2G019121|GRMZM2G071871
Benzaldehyde dehydrogenase [NAD] (EC 1.2.1.28)	fgenesh2_kg.1__394__AT1G04580.1	AT1G04580									GRMZM2G044469
Benzoate-CoA ligase (EC 6.2.1.25)	Al_scaffold_0002_1135|fgenesh2_kg.2__844__AT1G66120.1	AT1G65880|AT1G65890|AT1G66120|AT1G68270	BRADI1G76430|BRADI4G37570		GLYMA11G33110|GLYMA14G39030|GLYMA18G05110	ORGLA03G0021700|ORGLA09G0153900	OS03G0130100|OS09G0555800	POPTR_0004s08030|POPTR_0006s03460|POPTR_0006s03470|POPTR_0016s03410|POPTR_0017s02130|POPTR_0017s02150	Sb01g048390	Vv04s0079g00790	GRMZM2G075417|GRMZM2G092813
