Role	Aly	Ath	Bdi	Cre	Gma	Ogl	Osa	Ptr	Sbi	Vvi	Zma
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	fgenesh2_kg.1__1033__AT1G09780.1|fgenesh2_kg.3__860__AT3G08590.2	AT1G09780|AT3G08590	BRADI2G53340	CHLREDRAFT_196305	GLYMA09G40690|GLYMA18G45121	ORGLA01G0289700|ORGLA05G0180000	OS01G0817700|OS05G0482700	POPTR_0006s11400|POPTR_0016s14950	Sb03g038020	Vv08s0056g00200	GRMZM2G003385|GRMZM5G833389
2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	fgenesh1_pm.C_scaffold_8001076	AT5G53850	BRADI3G57750		GLYMA06G36620|GLYMA12G24221|GLYMA12G35390|GLYMA13G35120	ORGLA11G0116600	OS11G0484000	POPTR_0001s40980|POPTR_0011s11900	Sb0019s004510|Sb03g009140	Vv12s0028g03470|Vv19s0014g02480	GRMZM2G111164|GRMZM2G574782
2,3-dimethyl-6-phytyl-1,4-benzoquinone cyclase	fgenesh2_kg.7__863__AT4G32770.1	AT4G32770	BRADI3G10250	CHLREDRAFT_101649	GLYMA04G08740|GLYMA04G08750|GLYMA06G08850	ORGLA02G0109500	OS02G0276500	POPTR_0006s25680|POPTR_0018s00510	Sb04g010660	Vv04s0008g03600	GRMZM2G009785
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	fgenesh1_pm.C_scaffold_2000068	AT1G63970	BRADI3G51750	CHLREDRAFT_109429|CHLREDRAFT_188593	GLYMA11G02380|GLYMA12G17240	ORGLA02G0240000	OS02G0680600	POPTR_0001s09860|POPTR_0003s13230	Sb04g031830	Vv02s0025g00370	AC209374.4_FG002|GRMZM5G835542
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	Al_scaffold_0005_156	AT2G02500	BRADI2G57260	CHLREDRAFT_196604	GLYMA17G00611	ORGLA01G0337200	OS01G0887100	POPTR_0004s23930	Sb03g042160	Vv12s0035g01950	GRMZM2G172032|GRMZM5G856881
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	Al_scaffold_0002_2661|fgenesh1_pm.C_scaffold_1001391	AT1G16340|AT1G79500	BRADI4G40150		GLYMA09G38010|GLYMA18G48370	ORGLA12G0058000	OS12G0210800	POPTR_0002s06270|POPTR_0005s22100	Sb08g006770	Vv19s0085g00720	GRMZM2G168510
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	fgenesh2_kg.2__1173__AT1G69190.1|scaffold_701230.1	AT1G69190|AT4G30000	BRADI1G15020|BRADI1G21050	CHLREDRAFT_96683	GLYMA01G07791|GLYMA02G13270	ORGLA07G0172300	OS07G0618500	POPTR_0008s09700	Sb02g039380|Sb03g012700	Vv01s0011g00230	GRMZM2G095806
2-heptaprenyl-1,4-naphthoquinone methyltransferase MenG of phylloquinone biosynthesis (EC 2.1.1.-)	fgenesh2_kg.1__2552__AT1G23360.1	AT1G23360	BRADI1G21160|BRADI5G15167	CHLREDRAFT_133829	GLYMA01G03430|GLYMA02G04200	ORGLA04G0152800	OS04G0507800	POPTR_0008s19280	Sb06g022000	Vv01s0127g00150|Vv01s0127g00180	GRMZM2G099729
2-isopropylmalate synthase (EC 2.3.3.13)	fgenesh2_kg.1__2024__AT1G18500.1|fgenesh2_kg.2__1674__AT1G74040.1|scaffold_602363.1|scaffold_602364.1	AT1G18500|AT1G74040|AT5G23010|AT5G23020	BRADI4G43130	CHLREDRAFT_196609	GLYMA03G00800|GLYMA10G44180|GLYMA11G17790|GLYMA11G17804|GLYMA13G12400|GLYMA13G12470|GLYMA13G12484|GLYMA13G12565|GLYMA17G17225|GLYMA19G29880|GLYMA19G29920|GLYMA20G38950	ORGLA11G0024000|ORGLA12G0022000	OS11G0142500|OS12G0138900	POPTR_0005s08480	Sb05g002540|Sb08g001160	Vv05s0124g00390	GRMZM2G055507|GRMZM2G130062|GRMZM2G537291
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	fgenesh2_kg.1__2435__AT1G22410.1|fgenesh2_kg.7__768__AT4G33510.1|scaffold_700232.1	AT1G22410|AT4G33510|AT4G39980	BRADI1G21330|BRADI1G60750|BRADI3G38670	CHLREDRAFT_192517	GLYMA02G37080|GLYMA06G10670|GLYMA14G35370|GLYMA15G06020	ORGLA03G0186600|ORGLA06G0246100|ORGLA07G0175200|ORGLA08G0161000|ORGLA10G0165300	OS03G0389700|OS07G0622200|OS08G0484500	POPTR_0002s09950|POPTR_0005s07450|POPTR_0005s17270|POPTR_0007s05160	Sb01g033590|Sb02g039660|Sb07g029080	Vv00s0391g00070|Vv18s0001g06250	GRMZM2G117707|GRMZM2G365160|GRMZM2G396212|GRMZM2G454719|GRMZM5G828182
2-methyl-6-phytyl-1,4-benzoquinone cyclase	fgenesh2_kg.7__863__AT4G32770.1	AT4G32770	BRADI3G10250	CHLREDRAFT_101649	GLYMA04G08740|GLYMA04G08750|GLYMA06G08850	ORGLA02G0109500	OS02G0276500	POPTR_0006s25680|POPTR_0018s00510	Sb04g010660	Vv04s0008g03600	GRMZM2G009785
2-methyl-6-phytyl-1,4-benzoquinone methyltransferase, eukaryotic type	scaffold_503631.1	AT3G63410	BRADI3G04930|BRADI4G01640	CHLREDRAFT_129760	GLYMA02G00440|GLYMA02G16210|GLYMA10G03590|GLYMA10G32207|GLYMA20G35420	ORGLA07G0043000|ORGLA12G0160800	OS07G0179300|OS12G0615400	POPTR_0002s04790|POPTR_0005s23740|POPTR_0008s15920	Sb08g021580|Sb08g021610	Vv00s0179g00300|Vv05s0020g04430	GRMZM2G082998
2-methyl-6-solanyl-1,4-benzoquinone methyltransferase, eukaryotic type	scaffold_503631.1	AT3G63410	BRADI3G04930|BRADI4G01640	CHLREDRAFT_129760	GLYMA02G00440|GLYMA02G16210|GLYMA10G03590|GLYMA10G32207|GLYMA20G35420	ORGLA07G0043000|ORGLA12G0160800	OS07G0179300|OS12G0615400	POPTR_0002s04790|POPTR_0005s23740|POPTR_0008s15920	Sb08g021580|Sb08g021610	Vv00s0179g00300|Vv05s0020g04430	GRMZM2G082998
2-oxo-5-methylthiopentanoate transaminase (EC 2.6.1.-)	fgenesh2_kg.5__1320__AT3G49680.1	AT3G49680	BRADI1G78130|BRADI3G32830|BRADI5G18160		GLYMA01G40420|GLYMA11G04870	ORGLA03G0002800|ORGLA04G0185300|ORGLA10G0128800	OS03G0106400|OS04G0559400|OS05G0558400|OS10G0549500	POPTR_0007s14610|POPTR_0007s14620	Sb01g029750|Sb01g050250|Sb06g025140	Vv00s0657g00010	GRMZM2G047347|GRMZM2G071208|GRMZM5G860824
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	fgenesh2_kg.5__1960__AT3G55410.1|fgenesh2_kg.8__2629__AT5G65750.1	AT3G55410|AT5G65750	BRADI5G08230|BRADI5G08235	CHLREDRAFT_79471	GLYMA02G10470|GLYMA10G43610|GLYMA18G52430|GLYMA20G23200	ORGLA02G0351700|ORGLA04G0076300	OS04G0390000|OS07G0695800	POPTR_0008s05150|POPTR_0010s21610|POPTR_0010s21620	Sb04g000802|Sb04g000804|Sb06g013930|Sb06g013940|Sb06g018835|Sb10g031320	Vv13s0019g00510	GRMZM2G142863|GRMZM2G151041|GRMZM2G151169
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	scaffold_201744.1	AT1G68890		CHLREDRAFT_74221	GLYMA0103S50|GLYMA03G01364|GLYMA11G36261			POPTR_0010s14560		Vv01s0010g00820|Vv01s0010g00870	
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	scaffold_201744.1	AT1G68890		CHLREDRAFT_74221	GLYMA0103S50|GLYMA03G01364|GLYMA11G36261			POPTR_0010s14560		Vv01s0010g00820|Vv01s0010g00870	
3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	fgenesh2_kg.8__1924__AT5G59750.1|fgenesh2_kg.8__2448__AT5G64300.1|scaffold_400194.1	AT2G22450|AT5G59750|AT5G64300	BRADI2G23220|BRADI3G38570|BRADI3G46520|BRADI3G46530	CHLREDRAFT_102099	GLYMA05G30930|GLYMA08G07501|GLYMA08G14120|GLYMA08G18900|GLYMA13G08035|GLYMA13G40771|GLYMA15G04680|GLYMA15G06120	ORGLA02G0184500|ORGLA05G0167200|ORGLA08G0159400	OS02G0572400|OS05G0460600|OS08G0481950	POPTR_0001s24160|POPTR_0001s31800|POPTR_0005s07250|POPTR_0007s04980|POPTR_0017s07710	Sb04g023640|Sb07g029180|Sb09g022620	Vv03s0017g00650|Vv06s0004g04080|Vv07s0191g00190	GRMZM2G086365|GRMZM2G103152|GRMZM2G105466|GRMZM2G156803|GRMZM2G336908
3,4-dihydroxy-5-polyprenylbenzoate methyltransferase (EC 2.1.1.114)	fgenesh1_pg.C_scaffold_283000004|fgenesh2_kg.4__1071__AT2G30920.1	AT2G30920	BRADI1G49240		GLYMA02G45780|GLYMA14G03030	ORGLA06G0034700	OS06G0152300	POPTR_0014s08880|POPTR_0014s18210	Sb10g003690	Vv00s0186g00010|Vv07s0185g00170	GRMZM2G028552|GRMZM2G052418
3-butenylglucosinolate 2-hydroxylase (no EC)		AT2G25450									
3-cyanoalanine hydratase (4.2.1.65)	Al_scaffold_0006_2098|fgenesh1_pm.C_scaffold_5000676|fgenesh2_kg.5__841__AT3G44320.1	AT5G22300	BRADI3G49620|BRADI3G49630		GLYMA11G18620|GLYMA12G09750		OS02G0635000|OS02G0635200	POPTR_0004s20980|POPTR_0006s22420|POPTR_0009s16260	Sb04g026930|Sb04g026940|Sb04g026950|Sb06g023120	Vv02s0033g00630|Vv02s0033g00660|Vv02s0033g00670|Vv02s0033g00700|Vv02s0033g00770|Vv02s0033g00790|Vv02s0033g00800|Vv02s0033g00850|Vv02s0033g00870|Vv02s0109g00430|Vv06s0080g00940|Vv06s0080g00950	GRMZM2G111225|GRMZM2G178517
3-dehydroquinate dehydratase I (EC 4.2.1.10)	fgenesh2_kg.3__639__AT3G06350.1	AT3G06350	BRADI2G13170|BRADI4G05897	CHLREDRAFT_196935	GLYMA0022S00200|GLYMA01G20760	ORGLA01G0131000|ORGLA01G0131100|ORGLA01G0135300|ORGLA12G0126100	OS01G0375200|OS01G0375500|OS12G0534000	POPTR_0008s20060|POPTR_0010s02070|POPTR_1875s00200	Sb03g018040|Sb08g016970|Sb08g016980	Vv05s0020g02030	GRMZM2G014376|GRMZM2G314652
3-dehydroquinate synthase (EC 4.2.3.4)	fgenesh1_pg.C_scaffold_8002729	AT5G66120	BRADI4G36507	CHLREDRAFT_196549	GLYMA01G36890|GLYMA11G08350	ORGLA09G0141900	OS09G0539100	POPTR_0005s11300	Sb02g031240	Vv04s0023g03820	GRMZM2G051129|GRMZM2G573867
3-dehydrosphinganine reductase (EC 1.1.1.102)	fgenesh1_pm.C_scaffold_6001539|fgenesh2_kg.3__608__AT3G06060.1	AT3G06060|AT5G19200	BRADI3G52570		GLYMA13G27740|GLYMA15G11231		OS02G0701900	POPTR_0010s19920	Sb01g049920|Sb04g030750	Vv05s0020g02840	GRMZM2G147701|GRMZM2G167431
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	fgenesh2_kg.1__4374__AT1G53000.1	AT1G53000	BRADI2G16710		GLYMA06G37960|GLYMA12G23350	ORGLA05G0221600	OS05G0561500	POPTR_0001s41150|POPTR_0011s12080	Sb09g028380	Vv00s0265g00030|Vv19s0014g02840	GRMZM2G119256
3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)	fgenesh2_kg.4__146__AT2G22230.1|fgenesh2_kg.6__977__AT5G10160.1	AT2G22230|AT5G10160	BRADI3G18310	CHLREDRAFT_102512	GLYMA15G05800	ORGLA05G0153800|ORGLA08G0057200	OS05G0435700|OS08G0225000	POPTR_0003s01460	Sb07g006390|Sb09g021480		GRMZM2G024482|GRMZM2G055667
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	Al_scaffold_0009_13	AT4G13430	BRADI3G02487	CHLREDRAFT_132888	GLYMA20G34160	ORGLA02G0018600	OS02G0125100		Sb04g002120		GRMZM2G010044|GRMZM2G133988|GRMZM2G370852
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	fgenesh2_kg.4__2470__AT2G43090.1	AT2G43090	BRADI3G50520	CHLREDRAFT_126865	GLYMA07G03610|GLYMA08G22480	ORGLA02G0226800	OS02G0655300	POPTR_0003s10720	Sb04g033080	Vv00s0551g00010	GRMZM5G840002
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	fgenesh2_kg.1__3662__AT5G14200.1|fgenesh2_kg.2__2323__AT1G80560.1|fgenesh2_kg.6__1387__AT5G14200.1	AT1G31180|AT1G80560|AT5G14200	BRADI5G26890	CHLREDRAFT_195906	GLYMA11G08370|GLYMA13G44490|GLYMA15G00780	ORGLA03G0259600	OS03G0655700	POPTR_0001s18630	Sb06g033720	Vv12s0034g01080	GRMZM2G104613|GRMZM5G803490
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	fgenesh2_kg.5__2630__AT3G61530.1|scaffold_403565.1	AT2G46110|AT3G61530	BRADI2G07470	CHLREDRAFT_196344	GLYMA07G06950|GLYMA09G39030|GLYMA18G47310	ORGLA01G0070500|ORGLA01G0070600	OS01G0225400|OS01G0225500	POPTR_0014s08620	Sb03g001180|Sb03g001190|Sb03g001200	Vv15s0046g02170	GRMZM2G010596
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	fgenesh2_kg.1__2863__AT1G24360.1|fgenesh2_kg.6__2740__AT1G24360.1	AT1G24360	BRADI3G43850|BRADI5G07220	CHLREDRAFT_114298	GLYMA08G10760|GLYMA09G26480|GLYMA11G37320|GLYMA18G01280	ORGLA02G0342400|ORGLA03G0390000|ORGLA04G0068700	OS02G0503500|OS04G0376300	POPTR_0008s17880|POPTR_0010s06620	Sb04g020450|Sb06g010860	Vv01s0010g02670|Vv17s0000g01840	GRMZM2G043602|GRMZM2G099696|GRMZM2G351023
3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	fgenesh2_kg.8__160__AT5G46290.1	AT5G46290	BRADI1G19190|BRADI1G46610|BRADI5G11060	CHLREDRAFT_181037|CHLREDRAFT_205887	GLYMA05G25970|GLYMA05G36690|GLYMA08G02850|GLYMA08G08910|GLYMA18G10220	ORGLA06G0056800	OS04G0445700|OS06G0196600	POPTR_0001s10890|POPTR_0003s14190|POPTR_0004s13640|POPTR_0004s13650|POPTR_0011s02740|POPTR_0011s02750	Sb02g041620|Sb10g006430	Vv02s0025g01730|Vv10s0003g03070	GRMZM2G012863|GRMZM2G135498
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)	fgenesh2_kg.2__1765__AT1G74960.1	AT1G74960	BRADI1G20860|BRADI1G60300	CHLREDRAFT_139619	GLYMA13G17290|GLYMA15G20030|GLYMA15G20045|GLYMA17G05200	ORGLA07G0170600	OS07G0616200	POPTR_0006s14030|POPTR_0018s07450	Sb01g033050|Sb02g039230	Vv11s0016g00600	GRMZM2G072205|GRMZM2G124335|GRMZM2G152105
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)	fgenesh2_kg.2__215__AT1G62640.1	AT1G62640	BRADI5G23680	CHLREDRAFT_123419	GLYMA09G41380|GLYMA15G00550|GLYMA18G44350		OS04G0643300	POPTR_0001s00310|POPTR_0003s11160	Sb06g030380	Vv00s0233g00060|Vv02s0154g00140	GRMZM2G022563
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	fgenesh2_kg.4__2206__AT2G40840.1|fgenesh2_kg.8__2522__AT5G64860.1	AT2G40840|AT5G64860	BRADI1G18650|BRADI1G20790	CHLREDRAFT_122203|CHLREDRAFT_140452	GLYMA03G27600|GLYMA04G39730|GLYMA06G15140|GLYMA19G30580	ORGLA07G0179000|ORGLA07G0197100	OS07G0627000|OS07G0662900	POPTR_0006s03020|POPTR_0007s06550|POPTR_0016s02870	Sb02g040000|Sb02g042100	Vv07s0031g01540|Vv08s0040g00670	GRMZM2G013811|GRMZM2G136803
4-coumarate--CoA ligase (EC 6.2.1.12)	Al_scaffold_0003_2273|fgenesh1_pm.C_scaffold_2000502|fgenesh2_kg.3__2344__AT3G21230.1|scaffold_104938.1	AT1G51680|AT1G65060|AT3G21230|AT3G21240	BRADI1G31320|BRADI3G05750|BRADI3G18960|BRADI3G37300|BRADI3G52350		GLYMA01G44270|GLYMA11G01240|GLYMA11G09710|GLYMA13G01080|GLYMA13G44950|GLYMA15G00390|GLYMA17G07170|GLYMA17G07180|GLYMA17G07190	ORGLA02G0054100|ORGLA06G0195400|ORGLA08G0065300|ORGLA08G0145000	OS02G0177600|OS02G0697400|OS06G0656500|OS08G0245200|OS08G0448000	POPTR_0001s07400|POPTR_0003s18710|POPTR_0003s18720|POPTR_0006s18490|POPTR_0006s18500|POPTR_0006s18510|POPTR_0018s10210|POPTR_0018s10220|POPTR_0019s07600	Sb04g005210|Sb04g031010|Sb07g007810|Sb07g022040|Sb10g026130	Vv11s0052g01090|Vv11s0052g01110|Vv16s0039g02040	GRMZM2G054013|GRMZM2G055320|GRMZM2G075333|GRMZM2G174732
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	fgenesh2_kg.4__628__AT2G26930.1	AT2G26930	BRADI2G52610	CHLREDRAFT_137673	GLYMA13G04120|GLYMA17G21180|GLYMA20G08930	ORGLA01G0280900	OS01G0802100	POPTR_0001s23230|POPTR_0009s02690	Sb03g037310	Vv06s0009g02320	GRMZM5G859195
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	fgenesh2_kg.7__664__AT4G34350.1	AT4G34350	BRADI1G09710	CHLREDRAFT_59822	GLYMA11G12870|GLYMA12G05010	ORGLA03G0299700|ORGLA03G0299800	OS03G0731900|OS03G0732000	POPTR_0004s15760|POPTR_0009s11480	Sb01g009140	Vv03s0063g02030	GRMZM2G027059
4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	fgenesh2_kg.4__2582__AT2G44040.1|fgenesh2_kg.5__2445__AT3G59890.1|fgenesh2_kg.8__1097__AT5G52100.1	AT2G44040|AT3G59890|AT5G52100	BRADI1G68380|BRADI1G77400|BRADI3G11590		GLYMA01G06947|GLYMA07G06610|GLYMA08G36136|GLYMA10G38370|GLYMA16G03180|GLYMA20G29480	ORGLA02G0129900|ORGLA03G0012300|ORGLA03G0099300|ORGLA10G0166200	OS02G0436400|OS03G0118600|OS03G0245100	POPTR_0007s00340|POPTR_0012s13950|POPTR_0015s13920|POPTR_0017s00350	Sb01g041240|Sb01g049480|Sb07g024340	Vv05s0094g01480|Vv16s0100g00480	GRMZM2G044247|GRMZM2G090241|GRMZM2G104575
